Call type,Location,Dispatch time
SUSPICIOUS PERSON,3901 S UNIVERSITY AVE,2022-04-12 14:11:05
ACCIDENT,17000 CHENAL PKY,2022-04-12 14:08:15
THEFT JUST OCCURRED,2700 S SHACKLEFORD RD,2022-04-12 14:05:34
CRIMINAL TRESPASS IN PROGRESS,11400 W MARKHAM ST,2022-04-12 14:04:24
BURGLARY IN PROGRESS,303 ROSETTA ST,2022-04-12 13:54:46
DISTURBANCE IN PROGRESS,2901 S MONROE ST,2022-04-12 13:48:34
DISTURBANCE IN PROGRESS,8706 STANTON RD,2022-04-12 13:44:11
ACCIDENT,1701 S SHACKLEFORD RD,2022-04-12 13:43:38
SUSPICIOUS PERSON,11104 N RODNEY PARHAM RD,2022-04-12 13:39:54
ASSIST MEDICAL,5820 ASHER AVE,2022-04-12 13:38:16
DISTURBANCE,11500 CHICOT RD,2022-04-12 13:33:39
ACCIDENT INJURIES,OTTER CREEK PKY / OTTER CREEK CT,2022-04-12 13:29:47
DISTURBANCE WITH WEAPON JUST OCCURRED,4505 W 12TH ST,2022-04-12 13:28:12
POLICE - SUSPICIOUS PACKAGE,1516 KANIS VILLAGE DR,2022-04-12 13:25:47
BURGLAR ALARM,109 MAIN ST,2022-04-12 13:19:24
ASSIST MEDICAL,10434 W 36TH ST,2022-04-12 13:18:09
PARKING VIOLATION,N SCHILLER ST / RIVERVIEW DR,2022-04-12 13:10:08
PROPERTY CHECK,5223 W 31ST ST,2022-04-12 13:07:42
BURGLAR ALARM,6838 CANTRELL RD,2022-04-12 13:01:34
ACCIDENT INJURIES,JOHN BARROW RD / CLOVER HILL RD,2022-04-12 12:59:14
VEHICLE ABANDONED VEHICLE,7307 L ST,2022-04-12 12:56:25
DISTURBANCE WITH WEAPON IN PROGRESS,9610 COMSTOCK RD,2022-04-12 12:54:56
PRISONER TRANSPORT,700 W MARKHAM ST,2022-04-12 12:52:45
ACCIDENT,S BOWMAN RD / HERMITAGE RD,2022-04-12 12:50:38
PRISONER TRANSPORT,10001 KANIS RD,2022-04-12 12:49:44
RESIDENTIAL ALARM,5205 W 23RD ST,2022-04-12 12:48:42
CHECK CONDITION OF SUBJECT,310 E CAPITOL AVE,2022-04-12 12:47:16
ACCIDENT,N UNIVERSITY AVE / W MARKHAM ST,2022-04-12 12:46:15
DISTURBANCE WITH WEAPON IN PROGRESS,99 PINEDALE CIR,2022-04-12 12:45:35
SUBJECT STOP,W 3RD ST / CAPITOL MALL,2022-04-12 12:43:26
NARCOTICS LAW VIOLATIONS,4901 WESTERN HILLS AVE,2022-04-12 12:40:40
INFORMATION REPORT,21 WANDA LN,2022-04-12 12:39:31
SUSPICIOUS PERSON,MAGNOLIA AVE / OLD CANTRELL RD,2022-04-12 12:38:22
DISTURBANCE IN PROGRESS,1800 S ARCH ST,2022-04-12 12:37:56
TRAFFIC STOP,GEYER SPRINGS RD / FRONTAGE RD,2022-04-12 12:32:37
SUSPICIOUS PERSON,5420 W 12TH ST,2022-04-12 12:25:47
POLICE - SUBJECT DOWN,2 SAINT VINCENT CIR,2022-04-12 12:23:15
VEHICLE ABANDONED VEHICLE,516 N COOLIDGE ST,2022-04-12 12:21:06
CHECK CONDITION OF SUBJECT,6510 MABELVALE CTF,2022-04-12 12:19:56
BATTERY JUST OCCURRED,W ROOSEVELT RD / BROADWAY ST,2022-04-12 12:18:28
CHECK CONDITION OF SUBJECT,2923 WALKER ST,2022-04-12 12:15:30
SUSPICIOUS PERSON,1 CHILDRENS WAY,2022-04-12 12:14:40
CRIMINAL MISCHIEF,10206 CHICOT RD,2022-04-12 12:11:41
BURGLAR ALARM,7700 BASELINE RD,2022-04-12 12:11:01
ANIMAL,12 BRYN MAWR DR,2022-04-12 12:10:21
VEHICLE DWOC,11220 N RODNEY PARHAM RD,2022-04-12 11:56:45
STANDBY TO PREVENT DISTURBANCE,1501 N UNIVERSITY AVE,2022-04-12 11:55:50
PRISONER TRANSPORT,13400 INTERSTATE 30,2022-04-12 11:50:10
DISTURBANCE IN PROGRESS,1420 BRECKENRIDGE DR,2022-04-12 11:49:24
VEHICLE RECOVERED STOLEN VEHICLE,4709 EASTWOOD ST,2022-04-12 11:39:55
NARCOTICS LAW VIOLATIONS,1 CHILDRENS WAY,2022-04-12 11:38:34
SHOTS FIRED,21 BELLEMEADE DR,2022-04-12 11:31:24
RESIDENTIAL ALARM,116 SUMMERSHADE LOOP,2022-04-12 11:30:33
CRIMINAL TRESPASS,2301 S SCOTT ST,2022-04-12 11:26:41
RESIDENTIAL ALARM,1811 GARFIELD CT,2022-04-12 11:16:20
DISTURBANCE IN PROGRESS,1200 BROOKWOOD DR,2022-04-12 11:14:40
INFORMATION REPORT,6401 BASELINE RD,2022-04-12 11:13:23
SUSPICIOUS PERSON IN PROGRESS,15 SHADY OAK LN,2022-04-12 11:06:24
INFORMATION REPORT,3917 W 12TH ST,2022-04-12 11:05:43
CHECK CONDITION OF SUBJECT,4710 SAM PECK RD,2022-04-12 10:57:09
DISTURBANCE IN PROGRESS,12800 VIMY RIDGE RD,2022-04-12 10:55:20
SUSPICIOUS PERSON,1903 NICHOLS RD,2022-04-12 10:54:52
DISTURBANCE HIT and RUN,2318 S MARTIN ST,2022-04-12 10:47:49
ASSIST OTHER AGENCY,4000 W 11TH ST,2022-04-12 10:41:54
CHECK CONDITION OF SUBJECT,13641 CANTRELL RD,2022-04-12 10:40:40
ACCIDENT,400 PRESIDENT CLINTON AVE,2022-04-12 10:39:10
UNKNOWN,10100 KANIS RD,2022-04-12 10:38:47
VEHICLE STOLEN VEHICLE,3522 MARYLAND AVE,2022-04-12 10:27:11
VEHICLE STOLEN VEHICLE,515 E ROOSEVELT RD,2022-04-12 10:18:48
INFORMATION REPORT,4509 LUDWIG ST,2022-04-12 10:17:23
LOITERING,1020 S UNIVERSITY AVE,2022-04-12 10:09:50
POLICE - SUBJECT DOWN,4511 W 12TH ST,2022-04-12 10:07:23
VEHICLE ABANDONED VEHICLE,MABELVALE CTF / UNIVERSITY RD,2022-04-12 10:06:46
ASSIST MEDICAL,9105 SUNSET LN,2022-04-12 10:05:14
BATTERY IN PROGRESS,6100 S UNIVERSITY AVE,2022-04-12 10:04:49
CRIMINAL MISCHIEF JUST OCCURRED,1606 NICHOLS RD,2022-04-12 09:56:54
ACCIDENT,LAMAR ST / S WOODROW ST,2022-04-12 09:56:22
WANTED PERSON,509 GAMBLE RD,2022-04-12 09:55:51
ASSIST MEDICAL,6321 KAVANAUGH BLVD,2022-04-12 09:54:07
ACCIDENT W/INJURY and ENTRAPMENT,BROADWAY ST / W MARKHAM ST,2022-04-12 09:50:17
CHECK CONDITION OF SUBJECT,S CHESTER ST / W 3RD ST,2022-04-12 09:47:04
BURGLAR ALARM,8407 W MARKHAM ST,2022-04-12 09:40:48
RESIDENTIAL ALARM,26 BELLEMEADE DR,2022-04-12 09:33:57
SUSPICIOUS PERSON,1205 S PIERCE ST,2022-04-12 09:27:25
SHOTS FIRED,W 16TH ST / S ELM ST,2022-04-12 09:24:53
THEFT,17711 CHENAL PKY,2022-04-12 09:21:04
PROPERTY CHECK,7900 INTERSTATE 30,2022-04-12 09:20:19
ASSIST OTHER AGENCY,6200 COLONEL GLENN RD,2022-04-12 09:19:48
ACCIDENT,W CAPITOL AVE / JACK STEPHENS DR,2022-04-12 09:18:46
STANDBY TO PREVENT DISTURBANCE,5118 GUM SPRINGS RD,2022-04-12 09:12:43
BURGLAR ALARM,8622 CHICOT RD,2022-04-12 09:12:30
POLICE - SUBJECT DOWN,201 N UNIVERSITY AVE,2022-04-12 09:11:37
UNKNOWN,9024 VICTORIA DR,2022-04-12 09:03:13
CRIMINAL MISCHIEF,9201 KANIS RD,2022-04-12 09:02:36
ROBBERY ALARM,410 S UNIVERSITY AVE,2022-04-12 08:58:07
BREAKING OR ENTERING AUTO,12719 CANTRELL RD,2022-04-12 08:52:22
DISTURBANCE IN PROGRESS,8115 FRENCHMANS LN,2022-04-12 08:49:42
VEHICLE STOLEN VEHICLE,6216 YOUNG RD,2022-04-12 08:47:23
VEHICLE DWOC,1640 JOHN BARROW RD,2022-04-12 08:42:47
PARKING VIOLATION,1800 S JACKSON ST,2022-04-12 08:41:42
