Call type,Location,Dispatch time
DISTURBANCE JUST OCCURRED,5223 S UNIVERSITY AVE,2022-04-13 16:38:56
DISTURBANCE WITH WEAPON IN PROGRESS,323 PRESIDENT CLINTON AVE,2022-04-13 16:38:13
VEHICLE ABANDONED VEHICLE,W 36TH ST / WYNNE ST,2022-04-13 16:33:22
CRIMINAL MISCHIEF JUST OCCURRED,10623 W MARKHAM ST,2022-04-13 16:29:17
ACCIDENT,S UNIVERSITY AVE / MABELVALE PIKE,2022-04-13 16:22:15
THEFT,6402 BUTLER RD,2022-04-13 16:19:13
FOUND PROPERTY,2513 MAPLE ST,2022-04-13 16:13:57
UNKNOWN,1300 W 6TH ST,2022-04-13 16:12:50
BURGLARY,9600 SATTERFIELD DR,2022-04-13 16:11:23
CRIMINAL TRESPASS IN PROGRESS,108 E 6TH ST,2022-04-13 16:01:56
ANIMAL VICIOUS ANIMAL,3938 ARAPAHO TRL,2022-04-13 16:01:33
VEHICLE STALLED VEHICLE,BASELINE RD / ARCH ST,2022-04-13 15:59:25
BATTERY JUST OCCURRED,2900 W 13TH ST,2022-04-13 15:58:39
BURGLARY,6402 BUTLER RD,2022-04-13 15:55:37
ACCIDENT,CHICOT RD / BASELINE RD,2022-04-13 15:52:18
DISTURBANCE IN PROGRESS,1914 S STATE ST,2022-04-13 15:49:03
FOUND PROPERTY,1800 E ROOSEVELT RD,2022-04-13 15:46:41
ACCIDENT,7821 DOYLE SPRINGS RD,2022-04-13 15:46:07
UNKNOWN,1501 MARKET ST,2022-04-13 15:43:24
DISTURBANCE IN PROGRESS,4524 ASHER AVE,2022-04-13 15:39:34
UNKNOWN,673 RESERVOIR RD,2022-04-13 15:36:25
UNKNOWN,5600 W 35TH ST,2022-04-13 15:33:11
ACCIDENT INJURIES,W 14TH ST / S FILLMORE ST,2022-04-13 15:28:13
THEFT,14908 CANTRELL RD,2022-04-13 15:27:00
CHECK CONDITION OF SUBJECT,COLONEL GLENN RD / W 36TH ST,2022-04-13 15:24:50
ACCIDENT,BASELINE RD / WINSTON DR,2022-04-13 15:23:45
FOUND PROPERTY,3615 W 25TH ST,2022-04-13 15:16:21
STANDBY TO PREVENT DISTURBANCE,3611 MABELVALE PIKE,2022-04-13 15:14:50
ACCIDENT,8820 BASELINE RD,2022-04-13 15:13:29
VEHICLE DWOC,26 ROLLING LN,2022-04-13 15:11:47
PROPERTY CHECK,302 BROOKSIDE DR,2022-04-13 15:11:16
RESIDENTIAL ALARM,14315 CECIL DR,2022-04-13 15:05:12
PROPERTY CHECK,2400 RIVERFRONT DR,2022-04-13 14:59:30
PRISONER TRANSPORT,700 W MARKHAM ST,2022-04-13 14:56:25
CHECK CONDITION OF SUBJECT,N UNIVERSITY AVE / W MARKHAM ST,2022-04-13 14:54:07
ACCIDENT,7601 BRENDA CIR,2022-04-13 14:53:29
SUSPICIOUS PERSON,10 CLEMENT DR,2022-04-13 14:49:59
RESIDENTIAL ALARM,4200 CARTER LN,2022-04-13 14:48:08
SUSPICIOUS PERSON,PIEDMONT CIR / SUMMERDALE LN,2022-04-13 14:45:06
RESIDENTIAL ALARM,6 WINDRUSH PT,2022-04-13 14:41:26
RESIDENTIAL ALARM,9705 STARDUST TRL,2022-04-13 14:39:33
ACCIDENT,10300 N RODNEY PARHAM RD,2022-04-13 14:39:11
LOITERING,2401 W 13TH ST,2022-04-13 14:38:23
ACCIDENT HIT and RUN,3525 JOHN BARROW RD,2022-04-13 14:32:12
BATTERY JUST OCCURRED,4 NANDINA CIR,2022-04-13 14:31:31
PRISONER TRANSPORT,735 S NEELEY,2022-04-13 14:30:49
DISTURBANCE IN PROGRESS,2620 S SHACKLEFORD RD,2022-04-13 14:29:30
DISTURBANCE,5300 ASHER AVE,2022-04-13 14:27:51
ACCIDENT,E 3RD ST / MAIN ST,2022-04-13 14:25:34
DISTURBANCE IN PROGRESS,10011 INTERSTATE 30,2022-04-13 14:20:29
BATTERY JUST OCCURRED,2901 S MONROE ST,2022-04-13 14:15:46
ROBBERY ALARM,12500 W MARKHAM ST,2022-04-13 14:14:51
ASSIST PARTY,3710 S UNIVERSITY AVE,2022-04-13 14:13:16
DISTURBANCE IN PROGRESS,2112 CUMBERLAND ST,2022-04-13 14:12:48
ASSIST MEDICAL,900 MAIN ST,2022-04-13 14:10:55
DISTURBANCE IN PROGRESS,7001 ZEUBER RD,2022-04-13 13:58:54
ACCIDENT,BRECKENRIDGE DR / N SHACKLEFORD RD,2022-04-13 13:56:36
THEFT,22 FONTENAY CIR,2022-04-13 13:39:02
ACCIDENT,420 S BOWMAN RD,2022-04-13 13:32:15
CRIMINAL TRESPASS IN PROGRESS,3218 W 13TH ST,2022-04-13 13:28:16
DISTURBANCE IN PROGRESS,3124 W ROOSEVELT RD,2022-04-13 13:21:40
ASSIST OTHER AGENCY,1508 S UNIVERSITY AVE,2022-04-13 13:13:26
ACCIDENT HIT and RUN,S BOWMAN RD / HERMITAGE RD,2022-04-13 13:12:22
DISTURBANCE IN PROGRESS,5802 W 51ST ST,2022-04-13 13:11:31
STANDBY TO PREVENT DISTURBANCE,3701 AMERICAN MANOR DR,2022-04-13 13:08:08
TRAFFIC PURSUIT,W 28TH ST / S UNIVERSITY AVE,2022-04-13 13:00:16
DISTURBANCE IN PROGRESS,9700 COLLIE DR,2022-04-13 12:58:42
BURGLAR ALARM,11100 W MARKHAM ST,2022-04-13 12:57:15
DISTURBANCE IN PROGRESS,6828 COLONEL GLENN RD,2022-04-13 12:53:55
INFORMATION REPORT,700 W MARKHAM ST,2022-04-13 12:53:43
UNKNOWN,1623 W 23RD ST,2022-04-13 12:50:05
VEHICLE DWOC,1 AIRPORT RD,2022-04-13 12:37:13
VEHICLE ABANDONED VEHICLE,1009 N COOLIDGE ST,2022-04-13 12:32:05
PARKING VIOLATION,KAVANAUGH BLVD / BEECHWOOD ST,2022-04-13 12:17:15
ACCIDENT HIT and RUN,300 S UNIVERSITY AVE,2022-04-13 12:14:53
THEFT JUST OCCURRED,10321 COLONEL GLENN RD,2022-04-13 12:04:09
BATTERY IN PROGRESS,1000 W LAHARPE BLVD,2022-04-13 11:55:31
DISTURBANCE IN PROGRESS,8 SHACKLEFORD DR,2022-04-13 11:50:13
STANDBY TO PREVENT DISTURBANCE,1105 DR MARTIN LUTHER KING DR,2022-04-13 11:45:40
RESIDENTIAL ALARM,2200 RIVERFRONT DR,2022-04-13 11:45:19
BATTERY IN PROGRESS,17 STONEBRIDGE CIR,2022-04-13 11:36:23
PARKING VIOLATION,11 CALVARY CIR,2022-04-13 11:27:49
ACCIDENT HIT and RUN,1208 S BOWMAN RD,2022-04-13 11:25:48
SUSPICIOUS PERSON,5300 ASHER AVE,2022-04-13 11:24:54
ACCIDENT,12324 STAGECOACH RD,2022-04-13 11:19:51
DISTURBANCE IN PROGRESS,11401 W MARKHAM ST,2022-04-13 11:19:21
CRIMINAL MISCHIEF JUST OCCURRED,1640 JOHN BARROW RD,2022-04-13 11:18:51
DISTURBANCE,9101 W MARKHAM ST,2022-04-13 11:16:47
ROBBERY ALARM,2410 W 8TH ST,2022-04-13 11:15:19
CHECK CONDITION OF SUBJECT,925 FAIR PARK BLVD,2022-04-13 11:13:50
VEHICLE,11215 HERMITAGE RD,2022-04-13 11:10:06
RESIDENTIAL ALARM,2200 RIVERFRONT DR,2022-04-13 11:09:41
UNKNOWN,3601 W ROOSEVELT RD,2022-04-13 11:06:42
ACCIDENT,1500 N SHACKLEFORD RD,2022-04-13 11:04:29
VEHICLE DWOC,7618 KANIS RD,2022-04-13 11:04:02
INFORMATION REPORT,1401 S UNIVERSITY AVE,2022-04-13 11:02:20
DISTURBANCE IN PROGRESS,8624 CHICOT RD,2022-04-13 10:58:57
SUSPICIOUS PERSON,12626 LAWSON RD,2022-04-13 10:57:04
BURGLAR ALARM,401 MAIN ST,2022-04-13 10:52:47
LOITERING,W 9TH ST / S GAINES ST,2022-04-13 10:51:49
DISTURBANCE IN PROGRESS,2300 REBSAMEN PARK RD,2022-04-13 10:44:02
STANDBY TO PREVENT DISTURBANCE,S SHACKLEFORD RD / OLD SHACKLEFORD RD,2022-04-13 10:42:29
BURGLAR ALARM,321 S VICTORY ST,2022-04-13 10:33:03
INFORMATION REPORT,10001 KANIS RD,2022-04-13 10:29:20
DISTURBANCE WITH WEAPON,N PIERCE ST / EVERGREEN DR,2022-04-13 10:27:53
ACCIDENT,1418 JOHN BARROW RD,2022-04-13 10:26:29
SHOTS FIRED,1600 S JACKSON ST,2022-04-13 10:25:45
CHECK CONDITION OF SUBJECT,6310 COLONEL GLENN RD,2022-04-13 10:21:35
THEFT JUST OCCURRED,207 N UNIVERSITY AVE,2022-04-13 10:20:06
CRIMINAL MISCHIEF JUST OCCURRED,1401 COLLEGE ST,2022-04-13 10:11:50
ROBBERY ALARM,4423 W 12TH ST,2022-04-13 10:03:10
CRIMINAL TRESPASS,1817 WASHINGTON ST,2022-04-13 10:00:45
BURGLAR ALARM,2600 S SHACKLEFORD RD,2022-04-13 09:58:32
SUSPICIOUS PERSON,4 BRADFORD CT,2022-04-13 09:53:38
BURGLAR ALARM,401 MAIN ST,2022-04-13 09:44:40
STANDBY TO PREVENT DISTURBANCE,500 NAPA VALLEY DR,2022-04-13 09:39:11
BURGLAR ALARM,3901 S UNIVERSITY AVE,2022-04-13 09:38:34
SUSPICIOUS PERSON,2124 S RINGO ST,2022-04-13 09:36:51
SHOT SPOTTER ACTIVATION,5103 W 22ND ST,2022-04-13 09:36:05
ASSIST MEDICAL,5001 W 65TH ST,2022-04-13 09:30:38
ACCIDENT,10301 N RODNEY PARHAM RD,2022-04-13 09:28:05
DISTURBANCE IN PROGRESS,7123 INTERSTATE 30,2022-04-13 09:27:31
DEATH,319 NORMANDY RD,2022-04-13 09:26:10
ACCIDENT,601 N UNIVERSITY AVE,2022-04-13 09:12:26
ROBBERY OF BUSINESS JUST OCCURRED,1001 W CAPITOL AVE,2022-04-13 09:09:41
BATTERY IN PROGRESS,100 S ROCK ST,2022-04-13 09:06:33
BURGLAR ALARM,11100 W MARKHAM ST,2022-04-13 09:06:11
RESIDENTIAL ALARM,8404 DOWAN DR,2022-04-13 09:02:19
VEHICLE STOLEN VEHICLE,WRIGHT AVE / DR MARTIN LUTHER KING DR,2022-04-13 09:01:34
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-04-13 08:56:11
SUSPICIOUS PERSON,720 S IZARD ST,2022-04-13 08:55:06
RESIDENTIAL ALARM,1701 WELLINGTON WOODS DR,2022-04-13 08:51:30
DISTURBANCE,E 9TH ST / SHALL AVE,2022-04-13 08:49:36
ACCIDENT,KAVANAUGH BLVD / RIDGEWAY DR,2022-04-13 08:47:45
RESIDENTIAL ALARM,5 OXEYE LN,2022-04-13 08:47:29
ACCIDENT,925 S UNIVERSITY AVE,2022-04-13 08:36:35
ACCIDENT,W 36TH ST / COLONEL GLENN RD,2022-04-13 08:32:38
BREAKING OR ENTERING AUTO,8710 TEDBURN DR,2022-04-13 08:31:02
DISTURBANCE IN PROGRESS,7900 INTERSTATE 30,2022-04-13 08:25:04
BURGLARY IN PROGRESS,3200 BASELINE RD,2022-04-13 08:19:33
BURGLAR ALARM,2600 S SHACKLEFORD RD,2022-04-13 08:11:37
BURGLAR ALARM,8507 W MARKHAM ST,2022-04-13 08:07:29
ROBBERY OF INDIVIDUAL,5300 ASHER AVE,2022-04-13 08:01:29
BURGLARY,10800 COLONEL GLENN RD,2022-04-13 08:00:23
BURGLAR ALARM,401 MAIN ST,2022-04-13 07:58:18
BURGLAR ALARM,2706 S SHACKLEFORD RD,2022-04-13 07:57:24
BURGLAR ALARM,14524 CANTRELL RD,2022-04-13 07:50:55
CRIMINAL TRESPASS IN PROGRESS,5322 ASHER AVE,2022-04-13 07:41:25
STANDBY TO PREVENT DISTURBANCE,1509 W DAISY L GATSON BATES DR,2022-04-13 07:34:30
VEHICLE SUSPICIOUS VEHICLE,720 S IZARD ST,2022-04-13 07:27:10
ANIMAL VICIOUS ANIMAL,1908 MICHAEL DR,2022-04-13 07:26:22
ASSIST MEDICAL,3224 DR MARTIN LUTHER KING DR,2022-04-13 07:20:28
VEHICLE SUSPICIOUS VEHICLE,3901 LUDWIG ST,2022-04-13 07:17:25
DISTURBANCE WITH WEAPON IN PROGRESS,7700 SCOTT HAMILTON DR,2022-04-13 07:15:33
RESIDENTIAL ALARM,2001 KAVANAUGH BLVD,2022-04-13 07:01:40
ASSIST MEDICAL,9525 INTERSTATE 30,2022-04-13 06:57:56
ACCIDENT INJURIES,S SHACKLEFORD RD / SHACKLEFORD WEST BLVD,2022-04-13 06:50:44
UNKNOWN,2606 S ROCK ST,2022-04-13 06:49:20
POLICE - SUBJECT DOWN,HOLLY SPRINGS BLVD / GEYER SPRINGS RD,2022-04-13 06:44:06
BATTERY JUST OCCURRED,1800 BROADWAY ST,2022-04-13 06:43:28
PROPERTY CHECK,27 CASCADES DR,2022-04-13 06:30:33
UNKNOWN,1009 ALLIS ST,2022-04-13 06:29:18
SHOTS FIRED,1500 S JACKSON ST,2022-04-13 06:02:33
ACCIDENT,10900 INTERSTATE 30,2022-04-13 05:59:21
THEFT,2401 W 65TH ST,2022-04-13 05:35:44
BURGLARY,11410 N RODNEY PARHAM RD,2022-04-13 05:34:44
STANDBY TO PREVENT DISTURBANCE,11 CROSSINGS CT,2022-04-13 05:20:38
UNKNOWN,1401 S UNIVERSITY AVE,2022-04-13 05:17:43
FIGHT JUST OCCURRED,1400 S SUMMIT ST,2022-04-13 05:06:19
SHOT SPOTTER ACTIVATION,4404 E CHARLES BUSSEY AVE,2022-04-13 05:03:55
SHOT SPOTTER ACTIVATION,4420 E CHARLES BUSSEY AVE,2022-04-13 05:02:57
SHOTS FIRED,1500 S JACKSON ST,2022-04-13 05:00:28
BURGLAR ALARM,11100 W MARKHAM ST,2022-04-13 04:36:13
POLICE - SUBJECT DOWN,3213 LEHIGH DR,2022-04-13 04:28:29
SUSPICIOUS PERSON,3100 SPRINGER BLVD,2022-04-13 04:25:59
SUSPICIOUS PERSON,201 COLONEL GLENN PLAZA LOOP,2022-04-13 04:25:19
CHECK CONDITION OF SUBJECT,11822 SAINT CHARLES BLVD,2022-04-13 04:11:32
UNKNOWN,1009 ALLIS ST,2022-04-13 03:59:13
BURGLAR ALARM,3700 BASELINE RD,2022-04-13 03:50:50
DISTURBANCE WITH WEAPON IN PROGRESS,9600 W 36TH ST,2022-04-13 03:41:22
SUSPICIOUS PERSON,3700 CANTRELL RD,2022-04-13 03:38:19
