Call type,Location,Dispatch time
WANTED PERSON,2 SOMERTON CIR,2022-05-16 18:57:57
PROPERTY CHECK,3105 S SUMMIT ST,2022-05-16 18:55:47
DISTURBANCE IN PROGRESS,1321 MAIN ST,2022-05-16 18:54:08
DISTURBANCE IN PROGRESS,9110 WOODFORD DR,2022-05-16 18:53:28
BURGLAR ALARM,11501 MABELVALE WEST RD,2022-05-16 18:50:40
PROPERTY CHECK,1616 N BRYANT ST,2022-05-16 18:49:53
CRIMINAL TRESPASS IN PROGRESS,4107 SAM PECK RD,2022-05-16 18:49:35
ACCIDENT,5500 HIGHLAND DR,2022-05-16 18:47:45
STANDBY TO PREVENT DISTURBANCE,3520 W 69TH ST,2022-05-16 18:45:28
THEFT IN PROGRESS,8818 KANIS RD,2022-05-16 18:40:57
ACCIDENT,2620 W 65TH ST,2022-05-16 18:36:39
ACCIDENT,11700 INTERSTATE 30,2022-05-16 18:36:01
VEHICLE ABANDONED VEHICLE,MANOR AVE / COLONEL GLENN RD,2022-05-16 18:34:46
ASSIST OTHER AGENCY,44 LAKESIDE DR,2022-05-16 18:34:26
INDECENT EXPOSURE,9000 N RODNEY PARHAM RD,2022-05-16 18:32:07
BURGLAR ALARM,1912 GREEN MOUNTAIN DR,2022-05-16 18:28:44
BURGLARY IN PROGRESS,2001 S JACKSON ST,2022-05-16 18:28:06
VEHICLE ABANDONED VEHICLE,2823 W 6TH ST,2022-05-16 18:20:25
DISTURBANCE IN PROGRESS,311 E 8TH ST,2022-05-16 18:19:21
SUSPICIOUS PERSON,11221 MARA LYNN RD,2022-05-16 18:16:39
VEHICLE ABANDONED VEHICLE,BITTERSWEET DR / S CLEVELAND ST,2022-05-16 18:14:53
RESIDENTIAL ALARM,56 AVIGNON CT,2022-05-16 18:12:02
FORGERY,10001 KANIS RD,2022-05-16 18:11:22
ANIMAL VICIOUS ANIMAL,6901 W 34TH ST,2022-05-16 18:08:47
BATTERY IN PROGRESS,6200 COLONEL GLENN RD,2022-05-16 18:00:13
ANIMAL VICIOUS ANIMAL,22 S MEADOWCLIFF DR,2022-05-16 17:44:18
ACCIDENT,6711 CANTRELL RD,2022-05-16 17:43:19
ACCIDENT,N RODNEY PARHAM RD / INTERSTATE 430,2022-05-16 17:42:50
ACCIDENT,8415 W MARKHAM ST,2022-05-16 17:41:39
ACCIDENT,8122 CANTRELL RD,2022-05-16 17:41:24
ACCIDENT,8900 TANYA DR,2022-05-16 17:41:12
ACCIDENT INJURIES,N RODNEY PARHAM RD / BATTLE ST,2022-05-16 17:38:07
BATTERY IN PROGRESS,17 HANOVER DR,2022-05-16 17:37:18
ACCIDENT,13 CAYLOR LN,2022-05-16 17:36:25
DISTURBANCE IN PROGRESS,500 BROADWAY ST,2022-05-16 17:32:46
SUSPICIOUS PERSON,4407 W 12TH ST,2022-05-16 17:30:15
PRISONER TRANSPORT,700 W MARKHAM ST,2022-05-16 17:29:07
CRIMINAL MISCHIEF IN PROGRESS,2815 COVENANT CV,2022-05-16 17:27:57
FIGHT,5813 BASELINE RD,2022-05-16 17:27:07
PROPERTY CHECK,2801 CANTRELL RD,2022-05-16 17:25:10
STANDBY TO PREVENT DISTURBANCE,701 GREEN MOUNTAIN DR,2022-05-16 17:18:04
UNKNOWN,1701 S SHACKLEFORD RD,2022-05-16 17:14:39
DISTURBANCE IN PROGRESS,7501 INTERSTATE 30,2022-05-16 17:12:47
CRIMINAL MISCHIEF,164 BLACKBURN DR,2022-05-16 17:10:46
DISTURBANCE IN PROGRESS,5017 ASHER AVE,2022-05-16 17:06:51
INFORMATION REPORT,3 CHENAL HEIGHTS DR,2022-05-16 17:03:27
BREAKING OR ENTERING AUTO,7600 REBSAMEN PARK RD,2022-05-16 17:02:37
ACCIDENT,4800 W 7TH ST,2022-05-16 17:01:06
BURGLARY,3611 ASHER AVE,2022-05-16 17:00:47
ASSIST MEDICAL,2124 LABETTE MANOR DR,2022-05-16 17:00:14
SUSPICIOUS PERSON,2123 LABETTE MANOR DR,2022-05-16 16:52:19
UNKNOWN,2823 S TYLER ST,2022-05-16 16:48:03
ANIMAL VICIOUS ANIMAL,34 PINEDALE CIR,2022-05-16 16:46:44
RESIDENTIAL ALARM,4414 W 27TH ST,2022-05-16 16:40:39
CHECK CONDITION OF SUBJECT,100 E LAHARPE BLVD,2022-05-16 16:39:50
VEHICLE ABANDONED VEHICLE,7800 BRIARWOOD CIR,2022-05-16 16:38:42
INFORMATION REPORT,3 CHENAL HEIGHTS DR,2022-05-16 16:37:37
CHECK CONDITION OF SUBJECT,16702 FOREST LN,2022-05-16 16:37:06
BATTERY JUST OCCURRED,1005 E 8TH ST,2022-05-16 16:35:47
TRAFFIC VIOLATION,3219 MAIN ST,2022-05-16 16:33:50
ACCIDENT HIT and RUN,3201 W ROOSEVELT RD,2022-05-16 16:31:10
BREAKING OR ENTERING AUTO,7600 REBSAMEN PARK RD,2022-05-16 16:27:49
DISTURBANCE JUST OCCURRED,1401 ALDERSGATE RD,2022-05-16 16:24:23
DISTURBANCE IN PROGRESS,5300 BASELINE RD,2022-05-16 16:22:17
ROBBERY ALARM,6301 MURRAY ST,2022-05-16 16:20:05
CRIMINAL MISCHIEF,7510 GEYER SPRINGS RD,2022-05-16 16:18:07
ACCIDENT,10601 KANIS RD,2022-05-16 16:10:38
DISTURBANCE IN PROGRESS,10509 DIAMOND DR,2022-05-16 16:08:12
ACCIDENT,FATHER TRIBOU ST / N UNIVERSITY AVE,2022-05-16 16:06:46
TRAFFIC STOP,MABELVALE CTF / HEINKE RD,2022-05-16 16:06:22
RESIDENTIAL ALARM,27 JANWOOD DR,2022-05-16 16:05:53
DISTURBANCE WITH WEAPON IN PROGRESS,500 W MARKHAM ST / 2 N BROADWAY ST,2022-05-16 16:05:47
ACCIDENT,N SHACKLEFORD RD / W MARKHAM ST,2022-05-16 16:01:26
ACCIDENT HIT and RUN,1212 E 6TH ST,2022-05-16 15:54:14
PRISONER TRANSPORT,3917 W 12TH ST,2022-05-16 15:53:33
THEFT,7501 INTERSTATE 30,2022-05-16 15:52:26
DISTURBANCE IN PROGRESS,W 26TH ST / DR MARTIN LUTHER KING DR,2022-05-16 15:51:28
RESIDENTIAL ALARM,3300 DARTMOUTH CT,2022-05-16 15:50:44
ACCIDENT,11121 W MARKHAM ST,2022-05-16 15:47:19
STANDBY TO PREVENT DISTURBANCE,7510 GEYER SPRINGS RD,2022-05-16 15:45:41
DISTURBANCE IN PROGRESS,W DAISY L GATSON BATES DR / S PULASKI ST,2022-05-16 15:43:21
LOUD MUSIC,1800 BROADWAY ST,2022-05-16 15:39:13
VEHICLE ABANDONED VEHICLE,56 PLANTATION DR,2022-05-16 15:36:56
VEHICLE ABANDONED VEHICLE,4600 SPRINGER BLVD,2022-05-16 15:33:01
CHECK CONDITION OF SUBJECT,E DAISY L GATSON BATES DR / MAIN ST,2022-05-16 15:31:30
CHECK CONDITION OF SUBJECT,6100 S UNIVERSITY AVE,2022-05-16 15:30:01
LOITERING,3200 BANKHEAD DR,2022-05-16 15:28:02
CHECK CONDITION OF SUBJECT,1812 RESERVOIR RD,2022-05-16 15:26:52
ACCIDENT HIT and RUN,ARCHWOOD DR / BOYLE PARK RD,2022-05-16 15:25:33
ACCIDENT HIT and RUN,8724 COLONEL GLENN RD,2022-05-16 15:24:16
ACCIDENT,6500 S UNIVERSITY AVE,2022-05-16 15:21:32
BURGLARY,10509 DIAMOND DR,2022-05-16 15:21:10
RESIDENTIAL ALARM,1914 NICHOLS RD,2022-05-16 15:20:29
BATTERY JUST OCCURRED,9204 TIMBER VALLEY RD,2022-05-16 15:18:52
SUSPICIOUS PERSON,1 COUNTY FARM RD,2022-05-16 15:17:17
BURGLAR ALARM,2121 S FILLMORE ST,2022-05-16 15:14:58
POLICE - SUBJECT DOWN,4 AUSTIN CT,2022-05-16 15:13:59
FOUND PROPERTY,6 CHILDRENS WAY,2022-05-16 15:10:50
SUSPICIOUS PERSON,7525 FAIRFIELD DR,2022-05-16 15:07:12
RESIDENTIAL ALARM,1209 TWIN LAKES DR,2022-05-16 15:05:10
ASSIST MEDICAL,1401 GARFIELD DR,2022-05-16 15:03:33
CHECK CONDITION OF SUBJECT,8801 BASELINE RD,2022-05-16 15:02:49
BATTERY,E ROOSEVELT RD / FRONTAGE RD,2022-05-16 14:59:49
ACCIDENT,8321 CANTRELL RD,2022-05-16 14:55:41
ACCIDENT,BAPTIST HEALTH DR / INTERSTATE 630,2022-05-16 14:52:18
ACCIDENT INJURIES,721 W 9TH ST,2022-05-16 14:51:32
STANDBY TO PREVENT DISTURBANCE,4210 ASHER AVE,2022-05-16 14:49:06
BATTERY,2016 BARBER ST,2022-05-16 14:45:34
RESIDENTIAL ALARM,6100 SANDY LN,2022-05-16 14:42:54
STANDBY TO PREVENT DISTURBANCE,400 S UNIVERSITY AVE,2022-05-16 14:40:31
ACCIDENT,7529 STAGECOACH RD,2022-05-16 14:39:54
BATTERY,21501 HIGHWAY 10,2022-05-16 14:30:41
SUSPICIOUS PERSON,11601 BASS PRO PKY,2022-05-16 14:29:20
ACCIDENT,FINANCIAL CENTRE PKY / INTERSTATE 630,2022-05-16 14:24:09
ACCIDENT,700 W MARKHAM ST,2022-05-16 14:18:20
RESIDENTIAL ALARM,13500 CHENAL PKY,2022-05-16 14:15:43
UNKNOWN,4107 SAM PECK RD,2022-05-16 14:08:06
VEHICLE STOLEN VEHICLE,10001 KANIS RD,2022-05-16 14:07:11
DISTURBANCE IN PROGRESS,2523 W 12TH ST,2022-05-16 14:06:28
ACCIDENT HIT and RUN,N SHACKLEFORD RD / BEVERLY HILLS DR,2022-05-16 14:04:03
SUSPICIOUS PERSON,S LOUISIANA ST / FRONTAGE RD,2022-05-16 14:01:58
SUSPICIOUS PERSON,7620 BASELINE RD,2022-05-16 13:55:48
SHOTS FIRED,1500 S JACKSON ST,2022-05-16 13:50:41
CITIZEN CONTACT,W 13TH ST / S WOODROW ST,2022-05-16 13:49:43
BATTERY,16 TOMAHAWK RD,2022-05-16 13:48:04
VEHICLE STOLEN VEHICLE,3200 BANKHEAD DR,2022-05-16 13:38:32
DISTURBANCE IN PROGRESS,3601 W ROOSEVELT RD,2022-05-16 13:32:24
DISTURBANCE IN PROGRESS,115 E MARKHAM ST,2022-05-16 13:29:04
STANDBY TO PREVENT DISTURBANCE,6900 CANTRELL RD,2022-05-16 13:17:33
BATTERY IN PROGRESS,5917 BASELINE RD,2022-05-16 13:16:05
WANTED PERSON,115 N ARCH ST,2022-05-16 13:13:37
STANDBY TO PREVENT DISTURBANCE,1319 ADAMS ST,2022-05-16 13:11:54
SUSPICIOUS PERSON,BASELINE RD / CHICOT RD,2022-05-16 13:07:19
POLICE - SUBJECT DOWN,12204 CHICOT RD,2022-05-16 13:05:47
ASSIST MEDICAL,21 BLUE RIDGE CIR,2022-05-16 13:04:32
BATTERY JUST OCCURRED,6 CLIFTON DR,2022-05-16 13:00:27
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-05-16 12:56:03
FORGERY,7 BUTTERFLY PL,2022-05-16 12:54:58
DISTURBANCE IN PROGRESS,4207 W 15TH ST,2022-05-16 12:54:15
CHECK CONDITION OF SUBJECT,9201 VICTORIA DR,2022-05-16 12:53:06
DISTURBANCE IN PROGRESS,12505 W MARKHAM ST,2022-05-16 12:50:46
INFORMATION REPORT,6200 COLONEL GLENN RD,2022-05-16 12:43:54
VEHICLE STOLEN VEHICLE,4003 ARAPAHO TRL,2022-05-16 12:42:25
DISTURBANCE IN PROGRESS,JOHNSON ST / W ROOSEVELT RD,2022-05-16 12:37:53
BATTERY IN PROGRESS,9712 LABETTE DR,2022-05-16 12:32:09
RESIDENTIAL ALARM,5219 G ST,2022-05-16 12:30:32
BURGLAR ALARM,401 W CAPITOL AVE,2022-05-16 12:29:42
BATTERY JUST OCCURRED,10010 CHICOT RD,2022-05-16 12:24:30
DISTURBANCE IN PROGRESS,1701 MAIN ST,2022-05-16 12:21:57
CHECK CONDITION OF SUBJECT,BEECHWOOD ST / KAVANAUGH BLVD,2022-05-16 12:17:39
BREAKING OR ENTERING AUTO,3805 W 12TH ST,2022-05-16 12:09:26
POLICE - OVERDOSE,6200 COLONEL GLENN RD,2022-05-16 12:07:50
CHECK CONDITION OF SUBJECT,27 RUGBY DR,2022-05-16 12:07:03
SHOT SPOTTER ACTIVATION,1718 S BOOKER ST,2022-05-16 12:04:26
BATTERY JUST OCCURRED,209 BIG ROCK AVE,2022-05-16 12:00:15
THEFT,3917 W 12TH ST,2022-05-16 11:57:30
SUSPICIOUS PERSON,1701 REBSAMEN PARK RD,2022-05-16 11:50:35
PROPERTY CHECK,3200 BANKHEAD DR,2022-05-16 11:49:10
ROBBERY OF INDIVIDUAL,1 BENANNA ST,2022-05-16 11:48:16
INDECENT EXPOSURE,BROADWAY ST / INTERSTATE 630,2022-05-16 11:40:21
BURGLARY,9 WOOD SORREL PT,2022-05-16 11:39:06
STANDBY TO PREVENT DISTURBANCE,9705 DERBY LN,2022-05-16 11:37:38
DISTURBANCE WITH WEAPON IN PROGRESS,2610 S RINGO ST,2022-05-16 11:36:21
STANDBY TO PREVENT DISTURBANCE,6420 COLONEL GLENN RD,2022-05-16 11:29:19
ACCIDENT,1200 MAIN ST,2022-05-16 11:25:19
BURGLAR ALARM,3801 W 65TH ST,2022-05-16 11:18:55
DISTURBANCE IN PROGRESS,600 HARDIN RD,2022-05-16 11:18:04
STANDBY TO PREVENT DISTURBANCE,2709 S RINGO ST,2022-05-16 11:11:51
STANDBY TO PREVENT DISTURBANCE,400 S UNIVERSITY AVE,2022-05-16 11:05:30
INFORMATION REPORT,13924 CANTRELL RD,2022-05-16 11:04:33
CRIMINAL TRESPASS IN PROGRESS,2222 S CHESTER ST,2022-05-16 11:03:24
CRIMINAL TRESPASS IN PROGRESS,8115 FRENCHMANS LN,2022-05-16 10:59:29
SUSPICIOUS PERSON,2124 LABETTE MANOR DR,2022-05-16 10:58:07
DISTURBANCE IN PROGRESS,1516 CUMBERLAND ST,2022-05-16 10:50:58
BATTERY,6601 W 12TH ST,2022-05-16 10:49:51
PROPERTY CHECK,2021 MAIN ST,2022-05-16 10:49:00
DISTURBANCE WITH WEAPON IN PROGRESS,9808 SURREY DR,2022-05-16 10:46:05
DISTURBANCE IN PROGRESS,5801 DREHER LN,2022-05-16 10:44:58
CRIMINAL TRESPASS,1021 W 2ND ST,2022-05-16 10:37:52
DISTURBANCE,1116 W 34TH ST,2022-05-16 10:21:25
CRIMINAL MISCHIEF JUST OCCURRED,10519 DIAMOND DR,2022-05-16 10:13:33
THEFT,1722 BROADWAY ST,2022-05-16 10:12:27
CHECK CONDITION OF SUBJECT,2501 MAIN ST,2022-05-16 10:11:55
DISTURBANCE IN PROGRESS,2015 S MONROE ST,2022-05-16 10:05:29
BURGLAR ALARM,500 KIRBY RD,2022-05-16 10:02:45
PARKING VIOLATION,W MARKHAM ST / ROSE ST,2022-05-16 09:58:56
BURGLARY,9905 STARDUST TRL,2022-05-16 09:57:39
SUSPICIOUS PERSON,2700 W 6TH ST,2022-05-16 09:57:06
VEHICLE ABANDONED VEHICLE,ARCH ST / BASELINE RD,2022-05-16 09:56:15
HARASSING COMMUNICATIONS,10001 KANIS RD,2022-05-16 09:48:56
BREAKING OR ENTERING AUTO,7300 COLONEL GLENN RD,2022-05-16 09:48:36
ACCIDENT,S UNIVERSITY AVE / BOYLE PARK RD,2022-05-16 09:43:17
BURGLAR ALARM,9112 N RODNEY PARHAM RD,2022-05-16 09:40:27
BATTERY,2 SAINT VINCENT CIR,2022-05-16 09:35:49
CHECK CONDITION OF SUBJECT,1812 RESERVOIR RD,2022-05-16 09:33:32
DISTURBANCE IN PROGRESS,1100 E ROOSEVELT RD,2022-05-16 09:30:58
STANDBY TO PREVENT DISTURBANCE,7200 GLEN OAK DR,2022-05-16 09:29:22
SUSPICIOUS PERSON,5900 REBSAMEN PARK RD,2022-05-16 09:18:59
BURGLAR ALARM,8724 COLONEL GLENN RD,2022-05-16 09:16:01
SUSPICIOUS PERSON,2603 S TYLER ST,2022-05-16 09:09:57
ASSIST MEDICAL,8701 INTERSTATE 30,2022-05-16 09:07:25
DISTURBANCE IN PROGRESS,7525 BASELINE RD,2022-05-16 08:57:49
RESIDENTIAL ALARM,5 N MEADOWCLIFF DR,2022-05-16 08:50:31
CHECK CONDITION OF SUBJECT,21 BLUE RIDGE CIR,2022-05-16 08:48:48
BATTERY JUST OCCURRED,901 FAIR PARK BLVD,2022-05-16 08:44:28
ASSIST MEDICAL,3100 W ROOSEVELT RD,2022-05-16 08:43:17
DISTURBANCE IN PROGRESS,2402 CANTRELL RD,2022-05-16 08:42:32
THEFT STOLEN VEHICLE,12814 QUAIL CREEK RD,2022-05-16 08:34:30
UNKNOWN,6 DON DR,2022-05-16 08:33:55
INFORMATION REPORT,2120 W DAISY L GATSON BATES DR,2022-05-16 08:31:04
ACCIDENT,S SHACKLEFORD RD / W 36TH ST,2022-05-16 08:25:43
DISTURBANCE IN PROGRESS,E CAPITOL AVE / CUMBERLAND ST,2022-05-16 08:22:13
CRIMINAL MISCHIEF IN PROGRESS,INTERSTATE 630 / E 15TH ST,2022-05-16 08:15:23
PRISONER TRANSPORT,310 E CAPITOL AVE,2022-05-16 08:12:13
INFORMATION REPORT,5200 W 65TH ST,2022-05-16 08:10:52
BURGLARY,301 JOHNSON ST,2022-05-16 08:08:46
ACCIDENT,W 12TH ST / S RODNEY PARHAM RD,2022-05-16 08:08:21
SHOPLIFTING,1701 MAIN ST,2022-05-16 08:06:24
BATTERY JUST OCCURRED,6100 S UNIVERSITY AVE,2022-05-16 07:56:03
CHECK CONDITION OF SUBJECT,W 7TH ST / S MONROE ST,2022-05-16 07:54:35
TERRORISTIC THREATENING,10700 N RODNEY PARHAM RD,2022-05-16 07:48:07
ASSIST MEDICAL,6201 COLONEL GLENN RD,2022-05-16 07:25:52
INFORMATION REPORT,W 28TH ST / DR MARTIN LUTHER KING DR,2022-05-16 07:11:08
BURGLAR ALARM,900 CENTER ST,2022-05-16 07:10:03
VEHICLE ABANDONED VEHICLE,8315 CANTRELL RD,2022-05-16 07:09:10
BURGLAR ALARM,5924 BASELINE RD,2022-05-16 07:07:47
DISTURBANCE JUST OCCURRED,3618 W ROOSEVELT RD,2022-05-16 06:18:16
RESIDENTIAL ALARM,63 SOLOGNE CIR,2022-05-16 06:12:49
BURGLAR ALARM,6301 S UNIVERSITY AVE,2022-05-16 06:04:37
CHECK CONDITION OF SUBJECT,5001 W 65TH ST,2022-05-16 05:59:47
RESIDENTIAL ALARM,5920 GRANDVIEW ST,2022-05-16 05:56:45
BURGLAR ALARM,2624 S SHACKLEFORD RD,2022-05-16 05:54:56
SUSPICIOUS PERSON,11701 PLEASANT FOREST DR,2022-05-16 05:41:57
DISTURBANCE IN PROGRESS,612 E ROOSEVELT RD,2022-05-16 05:19:02
RESIDENTIAL ALARM,8 RANCH VALLEY RD,2022-05-16 05:05:21
BURGLAR ALARM,5200 W 65TH ST,2022-05-16 05:03:55
CUTTING JUST OCCURRED,6425 S UNIVERSITY AVE,2022-05-16 05:01:00
BURGLAR ALARM,11401 CANTRELL RD,2022-05-16 04:57:09
BURGLAR ALARM,9225 SIBLEY HOLE RD,2022-05-16 04:55:23
ASSIST MEDICAL,3001 W ROOSEVELT RD,2022-05-16 04:53:57
SUSPICIOUS PERSON,800 NAPA VALLEY DR,2022-05-16 04:33:33
BATTERY WITH WEAPON,1 ARAPAHO CT,2022-05-16 04:22:37
BURGLAR ALARM,11500 W MARKHAM ST,2022-05-16 04:14:58
INFORMATION REPORT,ILLINOIS ST / WATT ST,2022-05-16 04:10:08
BURGLAR ALARM,501 BYRD ST,2022-05-16 04:03:38
STANDBY TO PREVENT DISTURBANCE,2415 BROADWAY ST,2022-05-16 03:59:35
CHECK CONDITION OF SUBJECT,10500 WOODMAN ST,2022-05-16 03:55:39
INFORMATION REPORT,S LOUISIANA ST / FRONTAGE RD,2022-05-16 03:44:57
PROPERTY CHECK,1800 BROADWAY ST,2022-05-16 03:42:46
BATTERY IN PROGRESS,1 ARAPAHO CT,2022-05-16 03:39:02
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-05-16 03:24:21
DISTURBANCE IN PROGRESS,1316 MAIN ST,2022-05-16 03:10:14
