Call type,Location,Dispatch time
SUSPICIOUS PERSON,3223 W 11TH ST,2022-04-14 13:32:18
VEHICLE ABANDONED VEHICLE,1009 N COOLIDGE ST,2022-04-14 13:23:55
STANDBY TO PREVENT DISTURBANCE,222 W 23RD ST,2022-04-14 13:20:29
DISTURBANCE WITH WEAPON JUST OCCURRED,1701 MAIN ST,2022-04-14 13:15:37
PRISONER TRANSPORT,601 W BROADWAY ST,2022-04-14 13:10:11
DISTURBANCE WITH WEAPON IN PROGRESS,1606 WILSON RD,2022-04-14 13:09:23
BREAKING OR ENTERING AUTO,1500 PARHAM POINTE DR,2022-04-14 13:06:47
CRIMINAL TRESPASS IN PROGRESS,617 BROADWAY ST,2022-04-14 13:06:26
ACCIDENT INJURIES,1800 SECURITY AVE,2022-04-14 13:05:42
DISTURBANCE WITH WEAPON IN PROGRESS,801 S RODNEY PARHAM RD,2022-04-14 13:01:55
ACCIDENT,12115 OTTER CREEK RD,2022-04-14 12:59:58
DISTURBANCE IN PROGRESS,5301 ASHER AVE,2022-04-14 12:57:38
POLICE - OVERDOSE,2015 DURWOOD RD,2022-04-14 12:53:43
DISTURBANCE IN PROGRESS,8801 BASELINE RD,2022-04-14 12:51:01
FORGERY IN PROGRESS,9712 N RODNEY PARHAM RD,2022-04-14 12:45:38
BURGLAR ALARM,311 MAIN ST,2022-04-14 12:34:01
TRAFFIC STOP,EB ON RROSEVELT/SRPINGER,2022-04-14 12:34:00
BATTERY JUST OCCURRED,1310 ALDERSGATE RD,2022-04-14 12:32:40
RESIDENTIAL ALARM,8 HARROW DR,2022-04-14 12:31:28
ACCIDENT,17625 CHENAL PKY,2022-04-14 12:31:01
VEHICLE ABANDONED VEHICLE,2109 PEAR ORCHARD DR,2022-04-14 12:21:09
STANDBY TO PREVENT DISTURBANCE,4600 PRINCETON DR,2022-04-14 12:14:11
DEATH,12300 RIVERCREST DR,2022-04-14 12:10:15
SUSPICIOUS PERSON,W 23RD ST / S TYLER ST,2022-04-14 12:01:47
VEHICLE STOLEN VEHICLE,8211 GEYER SPRINGS RD,2022-04-14 12:00:36
CRIMINAL MISCHIEF,801 S RODNEY PARHAM RD,2022-04-14 11:56:32
DISTURBANCE IN PROGRESS,11500 FINANCIAL CENTRE PKY,2022-04-14 11:55:01
DISTURBANCE IN PROGRESS,6818 COLONEL GLENN RD,2022-04-14 11:53:25
RESIDENTIAL ALARM,4 LYRIC LN,2022-04-14 11:50:43
PROPERTY CHECK,PRIDE VALLEY RD / KANIS RD,2022-04-14 11:46:25
ACCIDENT HIT and RUN,11 BIG BEND DR,2022-04-14 11:45:56
DISTURBANCE IN PROGRESS,1528 PARHAM POINTE DR,2022-04-14 11:44:57
ACCIDENT HIT and RUN,CANTRELL RD / PINE BURRO RD,2022-04-14 11:43:56
CHECK CONDITION OF SUBJECT,2504 S HARRISON ST,2022-04-14 11:43:18
CITIZEN CONTACT,3700 CEDAR HILL RD,2022-04-14 11:39:25
ACCIDENT INJURIES,SPRINGER BLVD / E ROOSEVELT RD,2022-04-14 11:38:25
TRAFFIC VIOLATION,1400 S PULASKI ST,2022-04-14 11:33:13
DISTURBANCE IN PROGRESS,1712 W 16TH ST,2022-04-14 11:26:44
DISTURBANCE WITH WEAPON IN PROGRESS,7208 INDIANA AVE,2022-04-14 11:25:40
ROBBERY ALARM,9601 BAPTIST HEALTH DR,2022-04-14 11:25:07
INFORMATION REPORT,4507 W 25TH ST,2022-04-14 11:23:56
DISTURBANCE IN PROGRESS,2020 HINSON LOOP RD,2022-04-14 11:21:50
RESIDENTIAL ALARM,11120 BIRCHWOOD DR,2022-04-14 11:17:30
FORGERY IN PROGRESS,11525 FINANCIAL CENTRE PKY,2022-04-14 11:16:47
ASSIST OTHER AGENCY,1 BASS PRO DR,2022-04-14 11:15:16
RESIDENTIAL ALARM,2020 HINSON LOOP RD,2022-04-14 11:11:07
THEFT STOLEN VEHICLE,600 PLEASANT VALLEY DR,2022-04-14 11:09:12
VEHICLE STOLEN VEHICLE,1201 S WOODROW ST,2022-04-14 11:07:58
ASSIST MEDICAL,1320 REBSAMEN PARK RD,2022-04-14 11:05:13
CHECK CONDITION OF SUBJECT,11401 MESA DR,2022-04-14 11:02:25
RESIDENTIAL ALARM,6409 HAWTHORNE RD,2022-04-14 10:57:41
DISTURBANCE IN PROGRESS,1640 JOHN BARROW RD,2022-04-14 10:54:49
VEHICLE STALLED VEHICLE,N SHACKLEFORD RD / W MARKHAM ST,2022-04-14 10:51:44
CITIZEN CONTACT,KANIS RD / S SHACKLEFORD RD,2022-04-14 10:50:44
UNKNOWN,5000 S ARCH ST,2022-04-14 10:47:12
BURGLAR ALARM,9807 W MARKHAM ST,2022-04-14 10:42:18
BATTERY JUST OCCURRED,1812 RESERVOIR RD,2022-04-14 10:36:25
ASSIST OTHER AGENCY,4 HATFIELD DR,2022-04-14 10:35:36
ROBBERY ALARM,9120 N RODNEY PARHAM RD,2022-04-14 10:30:27
DISTURBANCE IN PROGRESS,7515 GEYER SPRINGS RD,2022-04-14 10:21:00
UNKNOWN,1912 GREEN MOUNTAIN DR,2022-04-14 10:18:40
LOITERING,11700 INTERSTATE 30,2022-04-14 10:15:13
SUSPICIOUS PERSON,13500 CHENAL PKY,2022-04-14 10:14:46
BATTERY,11401 CANTRELL RD,2022-04-14 10:01:25
DISTURBANCE IN PROGRESS,2600 W 65TH ST,2022-04-14 09:59:08
VEHICLE ABANDONED VEHICLE,91 SAXONY CIR,2022-04-14 09:57:36
DISTURBANCE IN PROGRESS,2415 BROADWAY ST,2022-04-14 09:43:52
DISTURBANCE IN PROGRESS,1528 PARHAM POINTE DR,2022-04-14 09:43:21
THEFT IN PROGRESS,5609 BASELINE RD,2022-04-14 09:38:48
VEHICLE BLOCKED DRIVE / ALLEY,9600 WILDERNESS RD,2022-04-14 09:38:08
ASSIST OTHER AGENCY,5005 GREENFIELD DR,2022-04-14 09:37:23
ACCIDENT W/INJURY and ENTRAPMENT,N MONROE ST / W MARKHAM ST,2022-04-14 09:29:57
BURGLAR ALARM,7321 CANTRELL RD,2022-04-14 09:28:10
DISTURBANCE WITH WEAPON IN PROGRESS,2500 QUEBEC DR,2022-04-14 09:25:36
PRISONER TRANSPORT,700 W MARKHAM ST,2022-04-14 09:22:58
BURGLAR ALARM,4616 SPRINGER BLVD,2022-04-14 09:18:21
BATTERY JUST OCCURRED,1225 GEYER ST,2022-04-14 09:14:53
CRIMINAL MISCHIEF,1715 WRIGHT AVE,2022-04-14 09:13:35
STANDBY TO PREVENT DISTURBANCE,3425 BASELINE RD,2022-04-14 09:11:38
DISTURBANCE IN PROGRESS,5300 ASHER AVE,2022-04-14 09:04:04
BURGLAR ALARM,3220 CANTRELL RD,2022-04-14 09:03:29
THEFT,7201 INTERSTATE 30,2022-04-14 08:58:48
DISTURBANCE IN PROGRESS,1624 BROADWAY ST,2022-04-14 08:54:01
BURGLAR ALARM,11525 CANTRELL RD,2022-04-14 08:49:35
PROPERTY CHECK,22 WEMBERLY DR,2022-04-14 08:47:18
ANIMAL LOOSE ANIMAL,W 65TH ST / S UNIVERSITY AVE,2022-04-14 08:45:09
BREAKING OR ENTERING AUTO,7117 GEYER SPRINGS RD,2022-04-14 08:41:17
THEFT,11310 OTTER CREEK EAST BLVD,2022-04-14 08:40:00
BURGLAR ALARM,3400 S UNIVERSITY AVE,2022-04-14 08:27:48
CHECK CONDITION OF SUBJECT,EXIT 5 I430 NB SHACKLEFORD,2022-04-14 08:16:50
CRIMINAL MISCHIEF,224 E 27TH ST,2022-04-14 08:14:47
VEHICLE STOLEN VEHICLE,1815 GREEN MOUNTAIN DR,2022-04-14 08:13:50
UNKNOWN,1201 S WOODROW ST,2022-04-14 08:09:43
ACCIDENT,300 S BOWMAN RD,2022-04-14 08:04:14
RESIDENTIAL ALARM,3 SHANNON DR,2022-04-14 08:01:50
ACCIDENT,CANTRELL RD / N TAYLOR ST,2022-04-14 07:59:48
VEHICLE ABANDONED VEHICLE,15 WOODCLIFF CIR,2022-04-14 07:57:50
PARKING VIOLATION,ROYAL OAKS DR / PONDEROSA DR,2022-04-14 07:54:02
BATTERY IN PROGRESS,11517 BIRCHWOOD DR,2022-04-14 07:51:59
SUSPICIOUS PERSON,2211 RICE ST,2022-04-14 07:47:50
ACCIDENT,1200 BROOKWOOD DR,2022-04-14 07:36:34
DISTURBANCE IN PROGRESS,84 VILLAGE TER,2022-04-14 07:34:22
CHECK CONDITION OF SUBJECT,7600 REBSAMEN PARK RD,2022-04-14 07:33:27
DISTURBANCE WITH WEAPON IN PROGRESS,3315 WYNNE ST,2022-04-14 07:28:13
ACCIDENT,376 S PALM ST,2022-04-14 07:26:23
THEFT,6300 COLONEL GLENN RD,2022-04-14 07:24:06
BATTERY JUST OCCURRED,6838 CANTRELL RD,2022-04-14 07:23:35
BATTERY JUST OCCURRED,5701 DREHER LN,2022-04-14 07:22:16
BURGLAR ALARM,500 PRESIDENT CLINTON AVE,2022-04-14 07:18:45
WANTED PERSON,7805 EAGLE DR,2022-04-14 07:15:43
ACCIDENT,JOHN BARROW RD / KANIS RD,2022-04-14 07:11:31
CHECK CONDITION OF SUBJECT,9500 SATTERFIELD DR,2022-04-14 06:47:10
SUSPICIOUS PERSON,2617 S HARRISON ST,2022-04-14 06:47:01
BATTERY JUST OCCURRED,2401 W 65TH ST,2022-04-14 06:19:40
ROBBERY ALARM,14916 CANTRELL RD,2022-04-14 06:19:09
ACCIDENT PEDESTRIAN,KAVANAUGH BLVD / N VAN BUREN ST,2022-04-14 06:09:40
CHECK CONDITION OF SUBJECT,4023 S SHACKLEFORD RD,2022-04-14 06:03:48
SUSPICIOUS PERSON,12401 INTERSTATE 30,2022-04-14 05:57:50
UNKNOWN,701 GREEN MOUNTAIN DR,2022-04-14 05:56:05
CHECK CONDITION OF SUBJECT,10434 W 36TH ST,2022-04-14 05:49:43
RESIDENTIAL ALARM,1721 S CEDAR ST,2022-04-14 05:26:12
SUSPICIOUS PERSON,S ROCK ST / E 6TH ST,2022-04-14 05:19:58
ASSIST MEDICAL,8818 KANIS RD,2022-04-14 05:11:28
DISTURBANCE IN PROGRESS,3400 S BOWMAN RD,2022-04-14 05:06:23
DISTURBANCE IN PROGRESS,14 TOREY PINES DR,2022-04-14 04:38:24
SUSPICIOUS PERSON,2618 S HARRISON ST,2022-04-14 04:23:20
DISTURBANCE IN PROGRESS,1316 MAIN ST,2022-04-14 04:15:12
DISTURBANCE IN PROGRESS,4200 S UNIVERSITY AVE,2022-04-14 03:59:43
BURGLAR ALARM,9401 COLONEL GLENN RD,2022-04-14 03:59:14
BURGLARY IN PROGRESS,6310 COLONEL GLENN RD,2022-04-14 03:57:36
SUSPICIOUS PERSON,1908 S PULASKI ST,2022-04-14 03:55:23
ASSIST MEDICAL,10321 COLONEL GLENN RD,2022-04-14 03:47:56
BATTERY JUST OCCURRED,36 REGINA CIR,2022-04-14 03:38:31
SHOTS FIRED,1500 S JACKSON ST,2022-04-14 03:34:15
BATTERY JUST OCCURRED,500 S BOWMAN RD,2022-04-14 02:43:00
BURGLAR ALARM,6000 W MARKHAM ST,2022-04-14 02:35:37
DISTURBANCE IN PROGRESS,1 ARAPAHO CT,2022-04-14 02:32:41
ASSIST MEDICAL,8924 W 37TH ST,2022-04-14 02:21:48
SUSPICIOUS PERSON,5300 BASELINE RD,2022-04-14 01:56:18
UNKNOWN,7005 GREENCREST DR,2022-04-14 01:48:50
BURGLAR ALARM,8216 ARCH ST,2022-04-14 01:46:01
RESIDENTIAL ALARM,6 BLACKJACK CT,2022-04-14 01:42:59
DISTURBANCE IN PROGRESS,7405 GRACE DR,2022-04-14 01:42:05
UNKNOWN,3117 MADISON ST,2022-04-14 01:40:30
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-04-14 01:34:48
CHECK CONDITION OF SUBJECT,6200 COLONEL GLENN RD,2022-04-14 01:31:26
BURGLAR ALARM,10201 N RODNEY PARHAM RD,2022-04-14 01:30:22
SUSPICIOUS PERSON,TIMBERLAND DR / LIVE OAK DR,2022-04-14 01:18:45
DISTURBANCE IN PROGRESS,1200 S SHACKLEFORD RD,2022-04-14 01:01:32
SUSPICIOUS PERSON,106 PEARL AVE,2022-04-14 01:00:33
SUSPICIOUS PERSON,8110 LEATRICE DR,2022-04-14 00:59:24
LOITERING,5209 F ST,2022-04-14 00:58:05
DISTURBANCE IN PROGRESS,2500 S GAINES ST,2022-04-14 00:57:39
SUSPICIOUS PERSON,3119 WOODSGATE DR,2022-04-14 00:53:09
CHECK CONDITION OF SUBJECT,16401 CHENAL VALLEY DR,2022-04-14 00:50:43
PROPERTY CHECK,8115 FRENCHMANS LN,2022-04-14 00:35:32
UNKNOWN,1623 W 23RD ST,2022-04-14 00:35:15
STANDBY TO PREVENT DISTURBANCE,2609 S BATTERY ST,2022-04-14 00:15:26
SHOTS FIRED,1624 W 21ST ST,2022-04-14 00:13:37
SUSPICIOUS PERSON,818 VALMAR ST,2022-04-14 00:11:58
BURGLAR ALARM,4000 W 65TH ST,2022-04-14 00:08:47
BURGLARY,6124 BOYLE PARK RD,2022-04-14 00:05:25
DISTURBANCE IN PROGRESS,5701 DREHER LN,2022-04-14 00:04:29
SHOT SPOTTER ACTIVATION,2815 W 12TH ST,2022-04-14 00:01:56
