Call type,Location,Dispatch time
ACCIDENT HIT and RUN,11700 CHENAL PKY,2022-04-18 17:10:11
WANTED PERSON,40 WESTMINISTER DR,2022-04-18 17:07:13
VEHICLE BLOCKED DRIVE / ALLEY,9708 WOODFORD DR,2022-04-18 17:06:46
DISTURBANCE,5501 S UNIVERSITY AVE,2022-04-18 17:05:19
CHECK CONDITION OF SUBJECT,W MARKHAM ST / BEECHWOOD ST,2022-04-18 17:02:45
PRISONER TRANSPORT,601 W BROADWAY ST,2022-04-18 17:01:44
DISTURBANCE IN PROGRESS,3801 BASELINE RD,2022-04-18 16:59:58
ACCIDENT,POINSETTA DR / W MARKHAM ST,2022-04-18 16:57:50
BURGLAR ALARM,300 W MARKHAM ST,2022-04-18 16:57:35
WANTED PERSON,514 MAIN,2022-04-18 16:55:55
ACCIDENT HIT and RUN,10501 STAGECOACH RD,2022-04-18 16:53:45
DISTURBANCE IN PROGRESS,106 MARKHAM PARK DR,2022-04-18 16:51:52
ACCIDENT HIT and RUN,W MARKHAM ST / BROADWAY ST,2022-04-18 16:51:43
BURGLAR ALARM,6200 COLONEL GLENN RD,2022-04-18 16:49:25
ACCIDENT,3216 MARSHALL ST,2022-04-18 16:49:07
BATTERY JUST OCCURRED,907 MELLON ST,2022-04-18 16:47:06
ACCIDENT,FAIR PARK BLVD / W 10TH ST,2022-04-18 16:39:55
DISTURBANCE IN PROGRESS,1800 BROADWAY ST,2022-04-18 16:39:35
SHOTS FIRED,4 FOXBORO CIR,2022-04-18 16:35:25
TERRORISTIC THREATENING,400 SHALL AVE,2022-04-18 16:32:43
DISTURBANCE WITH WEAPON IN PROGRESS,4412 W 10TH ST,2022-04-18 16:29:32
FOUND PROPERTY,111 W MARKHAM ST,2022-04-18 16:28:03
RESIDENTIAL ALARM,10 BENTLEY CIR,2022-04-18 16:26:53
INDECENT EXPOSURE,4100 W MARKHAM ST,2022-04-18 16:21:09
DISTURBANCE WITH WEAPON IN PROGRESS,7305 DEBBIE DR,2022-04-18 16:19:21
CRIMINAL TRESPASS IN PROGRESS,409 POINSETTA DR,2022-04-18 16:13:22
NARCOTICS LAW VIOLATIONS,1821 RESERVOIR RD,2022-04-18 16:12:53
DISTURBANCE IN PROGRESS,2608 MAPLE ST,2022-04-18 16:09:38
ROBBERY ALARM,2800 KAVANAUGH BLVD,2022-04-18 16:05:04
DISTURBANCE IN PROGRESS,9101 AUXOR RD,2022-04-18 16:02:02
DISTURBANCE IN PROGRESS,21 S MEADOWCLIFF DR,2022-04-18 16:00:42
STANDBY TO PREVENT DISTURBANCE,8701 INTERSTATE 30,2022-04-18 15:59:04
ACCIDENT,900 W 4TH ST,2022-04-18 15:55:57
DISTURBANCE JUST OCCURRED,5012 GUM SPRINGS RD,2022-04-18 15:55:51
SHOOTING,2 SAINT VINCENT CIR,2022-04-18 15:55:22
PROPERTY CHECK,2310 W 11TH ST,2022-04-18 15:49:44
STANDBY TO PREVENT DISTURBANCE,10320 STAGECOACH RD,2022-04-18 15:48:37
NARCOTICS LAW VIOLATIONS,1100 WRIGHT AVE,2022-04-18 15:45:04
CHECK CONDITION OF SUBJECT,9101 AUXOR RD,2022-04-18 15:44:17
POLICE - SUBJECT DOWN,111 N BOWMAN RD,2022-04-18 15:42:28
SHOOTING JUST OCCURRED,201 N SHACKLEFORD RD,2022-04-18 15:42:09
ASSIST MEDICAL,1920 OLD FORGE DR,2022-04-18 15:41:03
BREAKING OR ENTERING AUTO,503 E 6TH ST,2022-04-18 15:40:12
VEHICLE STOLEN VEHICLE,401 W MARKHAM ST,2022-04-18 15:39:44
ANIMAL VICIOUS ANIMAL,4700 GUM SPRINGS RD,2022-04-18 15:38:56
BURGLARY JUST OCCURRED,1715 S SUMMIT ST,2022-04-18 15:38:50
ACCIDENT,CHENAL PKY / KIRK RD,2022-04-18 15:38:12
THEFT,6401 BASELINE RD,2022-04-18 15:37:48
ACCIDENT,CHENAL PKY / ARKANSAS SYSTEMS DR,2022-04-18 15:36:48
GAMBLING LAW VIOLATIONS,9101 W MARKHAM ST,2022-04-18 15:29:13
SUSPICIOUS PERSON,617 BROADWAY ST,2022-04-18 15:27:58
CHECK CONDITION OF SUBJECT,4204 W MARKHAM ST,2022-04-18 15:20:08
DISTURBANCE IN PROGRESS,2620 W 65TH ST,2022-04-18 15:17:14
UNKNOWN,1200 BROOKWOOD DR,2022-04-18 15:16:36
LOUD MUSIC,8409 W 36TH ST,2022-04-18 15:11:02
CHECK CONDITION OF SUBJECT,420 BEECHWOOD ST,2022-04-18 15:09:08
RESIDENTIAL ALARM,8718 RANCH BLVD,2022-04-18 15:08:00
CRIMINAL TRESPASS IN PROGRESS,19921 CANTRELL RD,2022-04-18 15:07:22
DISTURBANCE IN PROGRESS,2410 FAIR PARK BLVD,2022-04-18 15:05:58
HARASSING COMMUNICATIONS,7601 N CHICOT RD,2022-04-18 15:04:53
SUSPICIOUS PERSON,2305 S IZARD ST,2022-04-18 15:04:07
BATTERY IN PROGRESS,2222 S CHESTER ST,2022-04-18 15:03:16
BATTERY IN PROGRESS,420 S UNIVERSITY AVE,2022-04-18 15:02:01
SUSPICIOUS PERSON,9515 INTERSTATE 30,2022-04-18 15:00:31
DISTURBANCE,5001 W 65TH ST,2022-04-18 14:57:16
SHOOTING,4301 W MARKHAM ST,2022-04-18 14:52:25
CRIMINAL TRESPASS IN PROGRESS,11812 VIMY RIDGE RD,2022-04-18 14:49:14
RESIDENTIAL ALARM,3913 S LOOKOUT RD,2022-04-18 14:42:28
DISTURBANCE WITH WEAPON IN PROGRESS,2302 S VALENTINE ST,2022-04-18 14:41:09
CRIMINAL MISCHIEF IN PROGRESS,9801 INTERSTATE 30,2022-04-18 14:40:19
FORGERY,10 RIVER RIDGE CIR,2022-04-18 14:34:33
VEHICLE DWOC,5012 GUM SPRINGS RD,2022-04-18 14:29:11
FOUND PROPERTY,6 DIAMANITINA WAY,2022-04-18 14:28:40
BATTERY IN PROGRESS,2222 S CHESTER ST,2022-04-18 14:27:09
CHECK CONDITION OF SUBJECT,901 FAIR PARK BLVD,2022-04-18 14:24:20
RESIDENTIAL ALARM,304 N PINE ST,2022-04-18 14:21:41
PROPERTY CHECK,5301 ASHER AVE,2022-04-18 14:20:09
ACCIDENT,S SHACKLEFORD RD / FINANCIAL CENTRE PKY,2022-04-18 14:15:36
CHECK CONDITION OF SUBJECT,W MARKHAM ST / N ELM ST,2022-04-18 14:13:51
DISTURBANCE IN PROGRESS,500 NAPA VALLEY DR,2022-04-18 14:12:26
DISTURBANCE,4401 LARA LN,2022-04-18 14:10:36
ACCIDENT,6501 GEYER SPRINGS RD,2022-04-18 14:07:46
POLICE - SUBJECT DOWN,1501 W ROOSEVELT RD,2022-04-18 14:04:21
STANDBY TO PREVENT DISTURBANCE,2300 W ROOSEVELT RD,2022-04-18 14:02:39
PARKING VIOLATION,9820 W MARKHAM ST,2022-04-18 13:54:35
BURGLARY JUST OCCURRED,9413 DARTMOOR DR,2022-04-18 13:54:03
RESIDENTIAL ALARM,8516 EDWINA DR,2022-04-18 13:43:18
POLICE - SUBJECT DOWN,BASELINE RD / MABELVALE PLAZA DR,2022-04-18 13:40:07
ACCIDENT,12600 CANTRELL RD,2022-04-18 13:38:56
ASSIST MEDICAL,201 E ROOSEVELT RD,2022-04-18 13:29:35
ACCIDENT,5921 R ST,2022-04-18 13:27:38
CRIMINAL MISCHIEF IN PROGRESS,1222 MAIN ST,2022-04-18 13:19:24
BURGLARY IN PROGRESS,2810 DORCHESTER DR,2022-04-18 13:16:45
VEHICLE SUSPICIOUS VEHICLE,7301 E WAKEFIELD DR,2022-04-18 13:06:37
DISTURBANCE,W 13TH ST / S PINE ST,2022-04-18 13:06:21
DISTURBANCE JUST OCCURRED,9600 W 36TH ST,2022-04-18 13:02:08
VEHICLE STALLED VEHICLE,1122 S UNIVERSITY AVE,2022-04-18 12:58:12
SHOTS FIRED,TULANE AVE / GRAND AVE,2022-04-18 12:56:53
DISTURBANCE IN PROGRESS,5105 W 65TH ST,2022-04-18 12:51:49
ACCIDENT,BASELINE RD / MABELVALE PIKE,2022-04-18 12:40:11
BATTERY JUST OCCURRED,5900 DREHER LN,2022-04-18 12:35:55
STANDBY TO PREVENT DISTURBANCE,4321 W 23RD ST,2022-04-18 12:32:48
STANDBY TO PREVENT DISTURBANCE,315 MAIN ST,2022-04-18 12:31:08
DISTURBANCE WITH WEAPON IN PROGRESS,3223 WALKER ST,2022-04-18 12:28:32
CHECK CONDITION OF SUBJECT,2115 W 23RD ST,2022-04-18 12:26:12
STANDBY TO PREVENT DISTURBANCE,9924 BLAKE ST,2022-04-18 12:09:16
DISTURBANCE IN PROGRESS,1803 JOYCE CT,2022-04-18 12:00:37
BATTERY IN PROGRESS,13924 CANTRELL RD,2022-04-18 11:57:51
PROPERTY CHECK,9212 CLOVER HILL RD,2022-04-18 11:54:07
BURGLAR ALARM,2727 S ARCH ST,2022-04-18 11:52:50
ANIMAL VICIOUS ANIMAL,9500 S HEIGHTS RD,2022-04-18 11:50:04
DISTURBANCE IN PROGRESS,901 FAIR PARK BLVD,2022-04-18 11:48:09
DISTURBANCE IN PROGRESS,10215 MABELVALE PLAZA DR,2022-04-18 11:44:23
ASSIST PARTY,901 FAIR PARK BLVD,2022-04-18 11:35:52
ACCIDENT,620 S UNIVERSITY AVE,2022-04-18 11:30:12
LOITERING,5525 W 12TH ST,2022-04-18 11:28:45
ACCIDENT,JOHN BARROW I630 OVERPASS,2022-04-18 11:23:26
STANDBY TO PREVENT DISTURBANCE,1010 WOLFE ST,2022-04-18 11:21:05
UNKNOWN,5000 S ARCH ST,2022-04-18 11:15:21
DISTURBANCE WITH WEAPON IN PROGRESS,2501 JOHN BARROW RD,2022-04-18 11:13:33
ACCIDENT,2702 S SHACKLEFORD RD,2022-04-18 11:06:10
LOITERING,525 W CAPITOL AVE,2022-04-18 11:03:25
NARCOTICS LAW VIOLATIONS,11520 FINANCIAL CENTRE PKY,2022-04-18 11:02:21
UNKNOWN,AUXOR RD / COFFER LN,2022-04-18 10:55:11
CHECK CONDITION OF SUBJECT,1401 E 6TH ST,2022-04-18 10:48:26
BATTERY IN PROGRESS,19 PAR DR,2022-04-18 10:47:16
BURGLARY,1423 W ROOSEVELT RD,2022-04-18 10:45:24
CRIMINAL TRESPASS IN PROGRESS,6828 COLONEL GLENN RD,2022-04-18 10:43:52
SUSPICIOUS PERSON,400 S LOUISIANA ST,2022-04-18 10:41:15
DISTURBANCE IN PROGRESS,700 E ROOSEVELT RD,2022-04-18 10:40:27
SUSPICIOUS PERSON,924 E 9TH ST,2022-04-18 10:27:26
DISTURBANCE IN PROGRESS,1812 RESERVOIR RD,2022-04-18 10:22:19
INDECENT EXPOSURE,2019 VALMAR ST,2022-04-18 10:21:46
INFORMATION REPORT,8115 FRENCHMANS LN,2022-04-18 10:20:36
RESIDENTIAL ALARM,2119 WILSON RD,2022-04-18 10:19:54
RESIDENTIAL ALARM,20 RED APPLE CV,2022-04-18 10:16:47
CHECK CONDITION OF SUBJECT,813 W 3RD ST,2022-04-18 10:14:42
DISTURBANCE IN PROGRESS,4823 W 31ST ST,2022-04-18 10:09:29
POLICE - SUBJECT DOWN,9 CLINT CT,2022-04-18 10:08:33
INFORMATION REPORT,1401 S UNIVERSITY AVE,2022-04-18 10:03:35
CHECK CONDITION OF SUBJECT,KANIS RD / JOHN BARROW RD,2022-04-18 10:02:09
FIRE RUN,900 S ARCH ST,2022-04-18 09:51:32
DISTURBANCE IN PROGRESS,2 SAINT VINCENT CIR,2022-04-18 09:46:53
PRISONER TRANSPORT,1302 PIKE AVE,2022-04-18 09:34:07
DISTURBANCE IN PROGRESS,1815 RAHLING RD,2022-04-18 09:32:48
DISTURBANCE IN PROGRESS,W 10TH ST / THAYER ST,2022-04-18 09:31:19
INFORMATION REPORT,2522 S BATTERY ST,2022-04-18 09:28:43
DISTURBANCE,11 RICHSMITH DR,2022-04-18 09:27:11
BURGLARY,2400 N TAYLOR ST,2022-04-18 09:26:19
ACCIDENT,CANTRELL RD / PLEASANT VALLEY DR,2022-04-18 09:14:23
THEFT,2 SAINT VINCENT CIR,2022-04-18 09:12:55
DISTURBANCE IN PROGRESS,7515 GEYER SPRINGS RD,2022-04-18 09:09:33
DISTURBANCE IN PROGRESS,5805 W 56TH ST,2022-04-18 09:00:08
ASSIST MEDICAL,4 TOREY PINES DR,2022-04-18 08:58:40
INFORMATION REPORT,1605 S JACKSON ST,2022-04-18 08:57:41
BURGLARY IN PROGRESS,1822 BOOKER ST,2022-04-18 08:54:22
ACCIDENT HIT and RUN,E 15TH ST / COLLEGE ST,2022-04-18 08:50:51
UNKNOWN,6900 CANTRELL RD,2022-04-18 08:42:54
DISTURBANCE IN PROGRESS,721 E 9TH ST,2022-04-18 08:41:57
BREAKING OR ENTERING AUTO,617 BROADWAY ST,2022-04-18 08:38:05
PROPERTY CHECK,14 PURDUE CIR,2022-04-18 08:37:44
DISTURBANCE JUST OCCURRED,11 RICHSMITH DR,2022-04-18 08:37:41
FIGHT IN PROGRESS,5810 VALLEY DR,2022-04-18 08:36:49
ACCIDENT,W ROOSEVELT RD / MAIN ST,2022-04-18 08:35:25
DISTURBANCE IN PROGRESS,9706 LABETTE DR,2022-04-18 08:33:48
CRIMINAL MISCHIEF IN PROGRESS,13500 CHENAL PKY,2022-04-18 08:27:37
ASSIST MEDICAL,4407 W 12TH ST,2022-04-18 08:26:10
BATTERY JUST OCCURRED,10724 W MARKHAM ST,2022-04-18 08:19:19
SUSPICIOUS PERSON,5709 TIMBERSIDE RD,2022-04-18 08:17:34
RESIDENTIAL ALARM,1409 S LOUISIANA ST,2022-04-18 08:05:00
SUSPICIOUS PERSON,9216 CLOVER HILL RD,2022-04-18 08:03:52
ACCIDENT,S UNIVERSITY AVE / HINDMAN PARK WAY,2022-04-18 08:03:43
SUSPICIOUS PERSON,9216 CLOVER HILL RD,2022-04-18 07:37:13
PROPERTY CHECK,1500 S PARK ST,2022-04-18 07:30:18
BURGLARY IN PROGRESS,9407 COMSTOCK RD,2022-04-18 07:29:35
INFORMATION REPORT,GUM SPRINGS RD / CONTINENTAL CIR,2022-04-18 07:21:09
BURGLAR ALARM,1800 E 14TH ST,2022-04-18 06:58:32
ACCIDENT,1 STADIUM DR,2022-04-18 06:57:13
BURGLARY,1200 S UNIVERSITY AVE,2022-04-18 06:45:26
DISTURBANCE IN PROGRESS,8101 STAGECOACH RD,2022-04-18 06:43:52
BURGLAR ALARM,11800 CHENAL PKY,2022-04-18 06:42:38
SUSPICIOUS PERSON,617 BROADWAY ST,2022-04-18 06:27:48
ASSIST MEDICAL,900 S ARCH ST,2022-04-18 06:11:55
SHOTS FIRED,1500 S JACKSON ST,2022-04-18 06:05:13
DISTURBANCE IN PROGRESS,11514 PONDEROSA DR,2022-04-18 06:03:21
ASSIST OTHER AGENCY,61 HILL LN,2022-04-18 06:00:38
CHECK CONDITION OF SUBJECT,917 BROADWAY ST,2022-04-18 05:48:58
THEFT JUST OCCURRED,617 BROADWAY ST,2022-04-18 05:45:33
UNKNOWN,3700 S ARCH ST,2022-04-18 05:25:31
ROBBERY ALARM,307 PRESIDENT CLINTON AVE,2022-04-18 05:19:37
BURGLAR ALARM,4701 W 65TH ST,2022-04-18 05:09:00
BURGLARY IN PROGRESS,6421 S UNIVERSITY AVE,2022-04-18 05:08:33
BURGLAR ALARM,401 PRESIDENT CLINTON AVE,2022-04-18 04:48:10
INFORMATION REPORT,11500 CHICOT RD,2022-04-18 04:44:49
CHECK CONDITION OF SUBJECT,311 E 8TH ST,2022-04-18 04:42:43
INFORMATION REPORT,150 PEBBLE BEACH DR,2022-04-18 04:37:13
POLICE - SUBJECT DOWN,12106 SARDIS RD,2022-04-18 04:35:41
BURGLAR ALARM,12626 LAWSON RD,2022-04-18 04:29:44
CHECK CONDITION OF SUBJECT,9100 RESERVOIR CT,2022-04-18 04:19:10
SHOTS FIRED,2401 FAIR PARK BLVD,2022-04-18 03:56:25
INFORMATION REPORT,107 E MARKHAM ST,2022-04-18 03:52:16
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-04-18 03:48:44
RESIDENTIAL ALARM,1911 S PULASKI ST,2022-04-18 03:43:28
SUSPICIOUS PERSON,14000 CANTRELL RD,2022-04-18 03:35:44
UNKNOWN,5001 W 65TH ST,2022-04-18 03:23:37
INFORMATION REPORT,9400 STAGECOACH RD,2022-04-18 03:14:11
LOUD MUSIC,2919 WARE ST,2022-04-18 03:08:15
UNKNOWN,9417 GEYER SPRINGS RD,2022-04-18 02:56:57
POLICE - OVERDOSE,5400 B ST,2022-04-18 02:55:04
BURGLARY IN PROGRESS,12 GLENDALE DR,2022-04-18 02:52:43
SUSPICIOUS PERSON,1122 W 34TH ST,2022-04-18 02:51:19
UNKNOWN,13111 W MARKHAM ST,2022-04-18 02:36:49
DISTURBANCE IN PROGRESS,2401 W 65TH ST,2022-04-18 02:27:01
SUSPICIOUS PERSON,4205 HOLT ST,2022-04-18 02:25:10
BURGLAR ALARM,6601 INTERSTATE 30,2022-04-18 02:24:27
ASSIST MEDICAL,3401 FAIR PARK BLVD,2022-04-18 02:20:14
SUSPICIOUS PERSON,11001 CHICOT RD,2022-04-18 01:58:44
DISTURBANCE IN PROGRESS,11 CROSSINGS CT,2022-04-18 01:54:49
SUSPICIOUS PERSON,4205 HOLT ST,2022-04-18 01:53:14
BATTERY JUST OCCURRED,3419 W CAPITOL AVE,2022-04-18 01:31:05
BURGLAR ALARM,3700 CANTRELL RD,2022-04-18 01:27:18
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-04-18 01:02:54
BURGLARY,1200 S UNIVERSITY AVE,2022-04-18 00:45:42
ASSIST PARTY,BASELINE RD / FRONTAGE RD,2022-04-18 00:43:24
DISTURBANCE IN PROGRESS,5801 BROWNING RD,2022-04-18 00:26:34
DISTURBANCE IN PROGRESS,5301 ASHER AVE,2022-04-18 00:20:42
DISTURBANCE IN PROGRESS,2618 S SHACKLEFORD RD,2022-04-18 00:18:11
INFORMATION REPORT,1605 S JACKSON ST,2022-04-18 00:14:06
