Call type,Location,Dispatch time
FIGHT JUST OCCURRED,1400 S SUMMIT ST,2022-04-13 05:06:19
SHOT SPOTTER ACTIVATION,4404 E CHARLES BUSSEY AVE,2022-04-13 05:03:55
SHOT SPOTTER ACTIVATION,4420 E CHARLES BUSSEY AVE,2022-04-13 05:02:57
SHOTS FIRED,1500 S JACKSON ST,2022-04-13 05:00:28
BURGLAR ALARM,11100 W MARKHAM ST,2022-04-13 04:36:13
POLICE - SUBJECT DOWN,3213 LEHIGH DR,2022-04-13 04:28:29
SUSPICIOUS PERSON,3100 SPRINGER BLVD,2022-04-13 04:25:59
SUSPICIOUS PERSON,201 COLONEL GLENN PLAZA LOOP,2022-04-13 04:25:19
CHECK CONDITION OF SUBJECT,11822 SAINT CHARLES BLVD,2022-04-13 04:11:32
UNKNOWN,1009 ALLIS ST,2022-04-13 03:59:13
BURGLAR ALARM,3700 BASELINE RD,2022-04-13 03:50:50
DISTURBANCE WITH WEAPON IN PROGRESS,9600 W 36TH ST,2022-04-13 03:41:22
SUSPICIOUS PERSON,3700 CANTRELL RD,2022-04-13 03:38:19
