Call type,Location,Dispatch time
SUSPICIOUS PERSON,10 SILVER FIR CT,2022-04-19 20:41:16
SUSPICIOUS PERSON,3700 CEDAR HILL RD,2022-04-19 20:35:50
PROPERTY CHECK,1505 S JACKSON ST,2022-04-19 20:33:24
VEHICLE DWOC,5813 BASELINE RD,2022-04-19 20:33:02
CRIMINAL MISCHIEF JUST OCCURRED,919 BOOKER ST,2022-04-19 20:32:11
SUSPICIOUS PERSON,8521 STANTON RD,2022-04-19 20:29:12
ASSIST MEDICAL,901 FAIR PARK BLVD,2022-04-19 20:21:42
ASSIST OTHER AGENCY,22 DAVEN CT,2022-04-19 20:19:18
CHECK CONDITION OF SUBJECT,1801 RESERVOIR RD,2022-04-19 20:14:14
SUSPICIOUS PERSON,14410 ALEXANDER RD,2022-04-19 19:56:48
SHOT SPOTTER ACTIVATION,4601 W 12TH ST,2022-04-19 19:55:37
DISTURBANCE WITH WEAPON JUST OCCURRED,601 MAIN ST,2022-04-19 19:46:53
THEFT JUST OCCURRED,15500 CHENAL PKY,2022-04-19 19:45:58
ASSIST MEDICAL,2618 S SHACKLEFORD RD,2022-04-19 19:42:09
DISTURBANCE IN PROGRESS,4509 LUDWIG ST,2022-04-19 19:40:47
PROPERTY CHECK,10121 N RODNEY PARHAM RD,2022-04-19 19:32:25
PROPERTY CHECK,1904 W 29TH ST,2022-04-19 19:31:02
RESIDENTIAL ALARM,105 VITICOLE PL,2022-04-19 19:30:34
SUSPICIOUS PERSON,30 HATFIELD DR,2022-04-19 19:29:29
SUSPICIOUS PERSON,S BOWMAN RD / CHENAL PKY,2022-04-19 19:26:52
BURGLAR ALARM,11525 CANTRELL RD,2022-04-19 19:24:28
UNKNOWN,3710 S UNIVERSITY AVE,2022-04-19 19:24:00
INFORMATION REPORT,61 LAKESIDE DR,2022-04-19 19:22:11
BATTERY JUST OCCURRED,27 WEDGEWOOD CREEK DR,2022-04-19 19:12:43
ACCIDENT,10324 INTERSTATE 30,2022-04-19 19:06:04
PROPERTY CHECK,1503 S JACKSON ST,2022-04-19 19:05:09
DISTURBANCE IN PROGRESS,515 W 6TH ST,2022-04-19 19:03:07
ASSIST MEDICAL,5218 W 34TH ST,2022-04-19 19:01:37
POLICE - SUBJECT DOWN,1701 MAIN ST,2022-04-19 18:54:52
DISTURBANCE IN PROGRESS,3720 W 18TH ST,2022-04-19 18:54:12
BATTERY JUST OCCURRED,5023 BASELINE RD,2022-04-19 18:53:23
ACCIDENT INJURIES,6714 FAIRFIELD DR,2022-04-19 18:46:59
DISTURBANCE,12111 W MARKHAM ST,2022-04-19 18:45:25
BREAKING OR ENTERING AUTO JUST OCCURRED,7525 FAIRFIELD DR,2022-04-19 18:44:31
THEFT JUST OCCURRED,12315 CHENAL PKY,2022-04-19 18:34:41
CHECK CONDITION OF SUBJECT,W MARKHAM ST / S PINE ST,2022-04-19 18:32:27
CRIMINAL TRESPASS,3700 CEDAR HILL RD,2022-04-19 18:32:22
BURGLARY,4906 TRINITY DR,2022-04-19 18:31:16
NARCOTICS LAW VIOLATIONS,215 N SHACKLEFORD RD,2022-04-19 18:28:45
DISTURBANCE IN PROGRESS,E 3RD ST / MAIN ST,2022-04-19 18:27:34
RESIDENTIAL ALARM,3901 POTTER ST,2022-04-19 18:27:06
FORGERY IN PROGRESS,8001 INTERSTATE 30,2022-04-19 18:26:15
BURGLAR ALARM,100 WELLINGTON HILLS RD,2022-04-19 18:25:46
BURGLARY JUST OCCURRED,1502 GREEN MOUNTAIN DR,2022-04-19 18:21:22
BURGLARY JUST OCCURRED,7700 N CHICOT RD,2022-04-19 18:19:45
VEHICLE STOLEN VEHICLE,1 AIRPORT RD,2022-04-19 18:13:57
ACCIDENT W/INJURY and ENTRAPMENT,3320 BASELINE RD,2022-04-19 18:11:28
CHECK CONDITION OF SUBJECT,420 BEECHWOOD ST,2022-04-19 18:10:41
ASSIST MEDICAL,3618 W ROOSEVELT RD,2022-04-19 18:09:27
DISTURBANCE IN PROGRESS,1803 S PIERCE ST,2022-04-19 17:58:03
BURGLARY,5300 BASELINE RD,2022-04-19 17:56:27
DISTURBANCE,4100 W MARKHAM ST,2022-04-19 17:50:50
THEFT,10720 BASS PRO PKY,2022-04-19 17:50:06
DISTURBANCE IN PROGRESS,5917 BASELINE RD,2022-04-19 17:49:25
ANIMAL VICIOUS ANIMAL,9500 S HEIGHTS RD,2022-04-19 17:42:18
RESIDENTIAL ALARM,25 CHEMIN CT,2022-04-19 17:40:10
DISTURBANCE IN PROGRESS,8800 LABETTE DR,2022-04-19 17:40:03
DISTURBANCE,3223 WALKER ST,2022-04-19 17:39:38
BURGLAR ALARM,6700 SLOANE DR,2022-04-19 17:37:50
DISTURBANCE IN PROGRESS,84 VILLAGE TER,2022-04-19 17:37:22
ACCIDENT HIT and RUN,925 FAIR PARK BLVD,2022-04-19 17:36:16
DWI,CANTRELL RD / CHENAL PKY,2022-04-19 17:35:35
CHECK CONDITION OF SUBJECT,3917 W 12TH ST,2022-04-19 17:33:06
DISTURBANCE IN PROGRESS,3707 W 18TH ST,2022-04-19 17:31:54
INFORMATION REPORT,1347 KINGS MOUNTAIN DR,2022-04-19 17:28:32
CHECK CONDITION OF SUBJECT,W MARKHAM ST / N PALM ST,2022-04-19 17:25:38
DISTURBANCE IN PROGRESS,6 JECK CT,2022-04-19 17:21:33
INDECENT EXPOSURE,3101 BOYLE PARK RD,2022-04-19 17:20:12
ACCIDENT,MABELVALE WEST RD / FRONTAGE RD,2022-04-19 17:19:26
VEHICLE ABANDONED VEHICLE,2900 WALKER ST,2022-04-19 17:17:25
BURGLAR ALARM,7400 N CHICOT RD,2022-04-19 17:10:31
CRIMINAL TRESPASS IN PROGRESS,5219 W 33RD ST,2022-04-19 17:10:03
ACCIDENT,S RODNEY PARHAM RD / S MISSISSIPPI ST,2022-04-19 17:09:51
ACCIDENT,KIRK RD / RAHLING RD,2022-04-19 17:05:29
ARSON REPORT,11400 W MARKHAM ST,2022-04-19 17:05:07
ACCIDENT INJURIES,S SHACKLEFORD RD / KANIS RD,2022-04-19 17:01:00
DISTURBANCE IN PROGRESS,1908 W 2ND ST,2022-04-19 16:59:30
DISTURBANCE IN PROGRESS,8 EATON DR,2022-04-19 16:58:20
DISTURBANCE IN PROGRESS,16103 CHENAL PKY,2022-04-19 16:55:46
WANTED PERSON,6838 CANTRELL RD,2022-04-19 16:54:16
DISTURBANCE,2100 JOHN BARROW RD,2022-04-19 16:47:52
DISTURBANCE IN PROGRESS,9205 LEW DR,2022-04-19 16:47:07
ASSIST MEDICAL,9 STONECREST CIR,2022-04-19 16:46:23
TRAFFIC STOP,COLONEL GLENN RD / W 36TH ST,2022-04-19 16:45:05
CHECK CONDITION OF SUBJECT,W 65TH ST / S UNIVERSITY AVE,2022-04-19 16:43:59
BURGLAR ALARM,4324 ASHER AVE,2022-04-19 16:35:27
RESIDENTIAL ALARM,301 KINGSROW DR,2022-04-19 16:34:30
ASSIST MEDICAL,3421 COFFER LN,2022-04-19 16:33:46
ASSIST MEDICAL,10112 WOODBRIDGE DR,2022-04-19 16:29:43
PRISONER TRANSPORT,16105 CHENAL PKY,2022-04-19 16:27:19
RESIDENTIAL ALARM,12 HANOVER DR,2022-04-19 16:25:44
DISTURBANCE IN PROGRESS,5 KYLE CT,2022-04-19 16:25:08
BATTERY,1700 W 19TH ST,2022-04-19 16:24:28
CRIMINAL TRESPASS IN PROGRESS,718 W 19TH ST,2022-04-19 16:23:27
UNKNOWN,5000 S ARCH ST,2022-04-19 16:22:24
ACCIDENT INJURIES,BASELINE RD / STAGECOACH RD,2022-04-19 16:10:36
BURGLAR ALARM,6818 MURRAY ST,2022-04-19 16:09:59
VEHICLE ABANDONED VEHICLE,13 NANTUCKET CIR,2022-04-19 16:06:17
UNKNOWN,2414 S PARK ST,2022-04-19 16:06:02
CHECK CONDITION OF SUBJECT,1200 BROOKWOOD DR,2022-04-19 16:04:04
FORGERY,1825 N GRANT ST,2022-04-19 16:02:31
CHECK CONDITION OF SUBJECT,3012 LONGCOY ST,2022-04-19 16:01:30
DISTURBANCE,4101 S UNIVERSITY AVE,2022-04-19 15:52:13
THEFT,6310 BUTLER RD,2022-04-19 15:50:03
PARKING VIOLATION,2116 CUMBERLAND ST,2022-04-19 15:41:51
CHECK CONDITION OF SUBJECT,801 E ROOSEVELT RD,2022-04-19 15:40:31
ACCIDENT,NORTHGATE DR / RESERVOIR RD,2022-04-19 15:36:53
DISTURBANCE JUST OCCURRED,9208 TANYA DR,2022-04-19 15:35:55
ACCIDENT,2407 GUNPOWDER RD,2022-04-19 15:35:43
BATTERY JUST OCCURRED,8801 BASELINE RD,2022-04-19 15:34:05
ACCIDENT,S BOWMAN RD / HERMITAGE RD,2022-04-19 15:33:08
CRIMINAL TRESPASS IN PROGRESS,2401 W 13TH ST,2022-04-19 15:32:46
LOUD MUSIC,8409 W 36TH ST,2022-04-19 15:22:50
CHECK CONDITION OF SUBJECT,3412 COFFER LN,2022-04-19 15:22:14
STANDBY TO PREVENT DISTURBANCE,9001 W MARKHAM ST,2022-04-19 15:20:01
DISTURBANCE IN PROGRESS,419 BOBWHITE DR,2022-04-19 15:17:06
BATTERY WITH WEAPON,1640 JOHN BARROW RD,2022-04-19 15:16:10
MISSING PERSON,800 NAPA VALLEY DR,2022-04-19 15:14:09
THEFT,1 N MEADOWCLIFF DR,2022-04-19 15:13:13
PROPERTY CHECK,2310 W 11TH ST,2022-04-19 15:10:45
POLICE - SUBJECT DOWN,3612 BASELINE RD,2022-04-19 15:09:31
INFORMATION REPORT,700 S BOWMAN RD,2022-04-19 15:06:24
PRISONER TRANSPORT,301 PORTER INDUSTRIAL,2022-04-19 15:05:01
VEHICLE ABANDONED VEHICLE,3408 S BATTERY ST,2022-04-19 15:01:26
ACCIDENT,5917 W 12TH ST,2022-04-19 15:00:03
DISTURBANCE IN PROGRESS,1514 W CHARLES BUSSEY AVE,2022-04-19 14:59:16
POLICE - OVERDOSE,10920 FINANCIAL CENTRE PKWY,2022-04-19 14:57:41
DISTURBANCE IN PROGRESS,5322 ASHER AVE,2022-04-19 14:43:58
DEATH,29 CHENAL VILLAGE CIR,2022-04-19 14:42:39
ASSIST MEDICAL,7900 SCOTT HAMILTON DR,2022-04-19 14:39:10
ACCIDENT,E 9TH ST / SHALL AVE,2022-04-19 14:30:57
INFORMATION REPORT,3 CHENAL HEIGHTS DR,2022-04-19 14:18:07
INFORMATION REPORT,8706 SHELLEY DR,2022-04-19 14:17:10
SHOPLIFTING,12610 CHENAL PKY,2022-04-19 14:08:17
ACCIDENT,12 BRANCH DR,2022-04-19 14:05:55
ACCIDENT INJURIES,W 6TH ST / S LOUISIANA ST,2022-04-19 13:57:23
ACCIDENT,W 2ND ST / S ARCH ST,2022-04-19 13:56:51
DISTURBANCE IN PROGRESS,5301 ASHER AVE,2022-04-19 13:47:10
DISTURBANCE IN PROGRESS,7400 SCOTT HAMILTON DR,2022-04-19 13:44:25
RESIDENTIAL ALARM,109 EDA DR,2022-04-19 13:40:28
SUSPICIOUS PERSON,10121 N RODNEY PARHAM RD,2022-04-19 13:35:02
VEHICLE STOLEN VEHICLE,415 N MCKINLEY ST,2022-04-19 13:24:54
TRAFFIC STOP,4TH/MARTIN,2022-04-19 13:20:43
POLICE - SUBJECT DOWN,12000 W MARKHAM ST,2022-04-19 13:17:49
CHECK CONDITION OF SUBJECT,BANKHEAD DR / E 33RD ST,2022-04-19 13:16:03
ACCIDENT,9001 W MARKHAM ST,2022-04-19 13:14:02
DISTURBANCE,7515 GEYER SPRINGS RD,2022-04-19 13:13:41
UNKNOWN,1 ZOO DR,2022-04-19 13:10:21
CHECK CONDITION OF SUBJECT,S UNIVERSITY AVE / DISTRICT AVE,2022-04-19 13:09:31
INFORMATION REPORT,12500 W MARKHAM ST,2022-04-19 13:07:30
THEFT,617 BROADWAY ST,2022-04-19 13:06:54
DISTURBANCE IN PROGRESS,1502 GREEN MOUNTAIN DR,2022-04-19 12:55:09
BATTERY JUST OCCURRED,515 W 6TH ST,2022-04-19 12:54:21
THEFT JUST OCCURRED,800 BROADWAY ST,2022-04-19 12:52:59
POLICE - SUBJECT DOWN,8 SHACKLEFORD DR,2022-04-19 12:50:08
LOITERING,317 S SHACKLEFORD RD,2022-04-19 12:48:36
BURGLARY,6117 W 65TH ST,2022-04-19 12:47:07
FOUND PROPERTY,3700 CEDAR HILL RD,2022-04-19 12:40:57
DISTURBANCE IN PROGRESS,7400 SCOTT HAMILTON DR,2022-04-19 12:36:10
RESIDENTIAL ALARM,11 HAYWOOD CT,2022-04-19 12:29:53
ACCIDENT,W 12TH ST / S TAYLOR ST,2022-04-19 12:26:13
RESIDENTIAL ALARM,1 ROBYN LN,2022-04-19 12:25:29
ACCIDENT,BALLINGER RD / LANCASTER RD,2022-04-19 12:22:33
BURGLARY IN PROGRESS,1321 MADISON ST,2022-04-19 12:12:40
DISTURBANCE IN PROGRESS,1201 S WOODROW ST,2022-04-19 12:08:32
PROPERTY CHECK,420 S UNIVERSITY AVE,2022-04-19 11:58:27
VEHICLE STOLEN VEHICLE,310 W 17TH ST,2022-04-19 11:54:21
STANDBY TO PREVENT DISTURBANCE,8902 GEYER SPRINGS RD,2022-04-19 11:50:05
DISTURBANCE IN PROGRESS,6618 COLONEL GLENN RD,2022-04-19 11:46:12
RESIDENTIAL ALARM,3401 W 12TH ST,2022-04-19 11:41:17
PROPERTY CHECK,TULANE AVE / GRAND AVE,2022-04-19 11:40:07
RESIDENTIAL ALARM,1000 KIRBY RD,2022-04-19 11:37:42
BURGLARY JUST OCCURRED,8318 DOYLE SPRINGS RD,2022-04-19 11:29:41
ROBBERY ALARM,425 W CAPITOL AVE,2022-04-19 11:24:26
DISTURBANCE WITH WEAPON IN PROGRESS,6401 BASELINE RD,2022-04-19 11:23:11
ACCIDENT INJURIES,2719 DORCHESTER DR,2022-04-19 11:18:44
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-04-19 11:16:27
ROBBERY ALARM,8101 STAGECOACH RD,2022-04-19 11:13:04
ACCIDENT,6200 BLK STAGECOACH RD,2022-04-19 11:11:59
DISTURBANCE IN PROGRESS,8211 GEYER SPRINGS RD,2022-04-19 11:11:31
UNKNOWN,7924 INTERSTATE 30,2022-04-19 11:08:26
THEFT JUST OCCURRED,3901 S UNIVERSITY AVE,2022-04-19 11:04:35
WANTED PERSON,"7600 CORRIGAN RD, MABELVALE",2022-04-19 11:02:00
SUSPICIOUS PERSON,605 S PINE ST,2022-04-19 11:01:03
CRIMINAL TRESPASS IN PROGRESS,2401 W 65TH ST,2022-04-19 10:56:55
CRIMINAL MISCHIEF IN PROGRESS,6800 COLONEL GLENN RD,2022-04-19 10:55:32
FOUND PROPERTY,2600 S MONROE ST,2022-04-19 10:49:12
THEFT,8822 STAGECOACH RD,2022-04-19 10:48:35
DISTURBANCE WITH WEAPON IN PROGRESS,905 LEWIS ST,2022-04-19 10:42:42
ASSIST MEDICAL,7 ROSEMUNN DR,2022-04-19 10:39:42
SUSPICIOUS PERSON,2209 WEST RD,2022-04-19 10:33:00
DISTURBANCE WITH WEAPON IN PROGRESS,723 MAPLE ST,2022-04-19 10:24:02
ACCIDENT HIT and RUN,111 CENTER ST,2022-04-19 10:21:18
STANDBY TO PREVENT DISTURBANCE,7501 INTERSTATE 30,2022-04-19 10:20:35
STANDBY TO PREVENT DISTURBANCE,4411 ASHER AVE,2022-04-19 10:18:03
PRISONER TRANSPORT,6420 COLONEL GLENN RD,2022-04-19 10:03:26
VEHICLE RECOVERED STOLEN VEHICLE,3024 KING RD,2022-04-19 09:59:46
LOITERING,4024 W MARKHAM ST,2022-04-19 09:59:24
ASSIST OTHER AGENCY,3 CLEMENT DR,2022-04-19 09:58:12
DISTURBANCE JUST OCCURRED,W 13TH ST / PEYTON ST,2022-04-19 09:57:12
STANDBY TO PREVENT DISTURBANCE,2110 CUMBERLAND ST,2022-04-19 09:56:11
RESIDENTIAL ALARM,2 RUBRA CT,2022-04-19 09:33:58
UNKNOWN,204 N FILLMORE ST,2022-04-19 09:30:42
DEATH,4201 W 19TH ST,2022-04-19 09:28:56
ACCIDENT HIT and RUN,VIMY RIDGE RD / SHADY OAK LN,2022-04-19 09:21:31
ASSIST MEDICAL,7501 INTERSTATE 30,2022-04-19 09:19:01
TRAFFIC VIOLATION,30 WOODGLEN RD,2022-04-19 09:16:41
BURGLAR ALARM,8622 CHICOT RD,2022-04-19 09:09:21
INFORMATION REPORT,300 W 2ND ST,2022-04-19 09:00:48
DISTURBANCE IN PROGRESS,700 E ROOSEVELT RD,2022-04-19 09:00:00
THEFT,10 QUAIL RUN CIR,2022-04-19 08:59:48
RESIDENTIAL ALARM,127 CONGRESSIONAL DR,2022-04-19 08:57:30
STANDBY TO PREVENT DISTURBANCE,4525 W 16TH ST,2022-04-19 08:53:13
THEFT,322 S ROCK ST,2022-04-19 08:52:11
DISTURBANCE JUST OCCURRED,11724 RAINWOOD RD,2022-04-19 08:49:52
BURGLAR ALARM,22901 CHENAL VALLEY DR,2022-04-19 08:49:43
BURGLAR ALARM,8220 GEYER SPRINGS RD,2022-04-19 08:49:34
CRIMINAL MISCHIEF,3700 AMERICAN MANOR DR,2022-04-19 08:41:59
BURGLAR ALARM,5722 W 12TH ST,2022-04-19 08:34:40
BURGLAR ALARM,12115 HINSON RD,2022-04-19 08:33:46
BURGLAR ALARM,9500 KANIS RD,2022-04-19 08:32:46
DISTURBANCE IN PROGRESS,617 BROADWAY ST,2022-04-19 08:20:00
ROBBERY ALARM,1501 ALDERSGATE RD,2022-04-19 08:18:55
DISTURBANCE IN PROGRESS,5309 WESTMINISTER DR,2022-04-19 08:18:02
BURGLAR ALARM,11215 HERMITAGE RD,2022-04-19 08:16:57
BURGLAR ALARM,6200 COLONEL GLENN RD,2022-04-19 08:04:36
ACCIDENT HIT and RUN,202 MAIN ST,2022-04-19 08:00:51
ACCIDENT INJURIES,CANTRELL RD / RANCH BLVD,2022-04-19 07:57:50
THEFT,W 11TH ST / ALLIS ST,2022-04-19 07:57:07
BATTERY JUST OCCURRED,10920 FINANCIAL CENTRE PKWY,2022-04-19 07:56:42
DISTURBANCE IN PROGRESS,2714 S SHACKLEFORD RD,2022-04-19 07:55:22
RESIDENTIAL ALARM,2118 WELLINGTON PLANTATION DR,2022-04-19 07:45:06
SHOT SPOTTER ACTIVATION,1402 S JACKSON ST,2022-04-19 07:42:46
DISTURBANCE JUST OCCURRED,E 9TH ST / MAIN ST,2022-04-19 07:39:14
ACCIDENT,SAM PECK RD / CANTRELL RD,2022-04-19 07:37:19
ARSON REPORT,13500 CHENAL PKY,2022-04-19 07:30:27
ANIMAL VICIOUS ANIMAL,1500 S JACKSON ST,2022-04-19 07:28:29
SHOT SPOTTER ACTIVATION,1402 S JACKSON ST,2022-04-19 07:27:50
ROBBERY ALARM,2410 W 8TH ST,2022-04-19 07:26:25
POLICE - SUBJECT DOWN,11312 BASS PRO PKY,2022-04-19 07:20:19
VEHICLE STOLEN VEHICLE,5306 STANLEY DR,2022-04-19 07:14:04
THEFT,5722 W 12TH ST,2022-04-19 07:13:26
INFORMATION REPORT,8220 WINTERWOOD DR,2022-04-19 07:10:56
VEHICLE STOLEN VEHICLE,2300 REBSAMEN PARK RD,2022-04-19 07:10:26
BURGLAR ALARM,21 CORPORATE HILL DR,2022-04-19 07:06:44
DISTURBANCE IN PROGRESS,4710 SAM PECK RD,2022-04-19 07:03:57
THEFT,3618 W ROOSEVELT RD,2022-04-19 06:56:01
RESIDENTIAL ALARM,5400 CHENONCEAU BLVD,2022-04-19 06:55:27
CRIMINAL TRESPASS IN PROGRESS,3409 W MARKHAM ST,2022-04-19 06:54:52
ROBBERY ALARM,3 STATEHOUSE PLZ,2022-04-19 06:50:08
POLICE - OVERDOSE,8 PLANTATION DR,2022-04-19 06:39:39
BURGLARY IN PROGRESS,2421 GRISTMILL RD,2022-04-19 06:34:33
FIRE RUN,WHITMORE CIR / WOLFE ST,2022-04-19 06:11:40
DISTURBANCE IN PROGRESS,2600 W 65TH ST,2022-04-19 06:04:15
INFORMATION REPORT,123 N POLK ST,2022-04-19 05:39:20
ASSIST MEDICAL,500 S BOWMAN RD,2022-04-19 05:09:35
SHOOTING JUST OCCURRED,7620 BASELINE RD,2022-04-19 05:01:25
BURGLAR ALARM,8223 COLONEL GLENN RD,2022-04-19 04:56:08
ASSIST MEDICAL,310 E CAPITOL AVE,2022-04-19 04:55:41
SUSPICIOUS PERSON,7001 ZEUBER RD,2022-04-19 04:48:36
BATTERY IN PROGRESS,8825 PRODUCTION DR,2022-04-19 04:43:51
SUSPICIOUS PERSON,8701 INTERSTATE 30,2022-04-19 04:39:38
VEHICLE ATTEMPT TO LOCATE STOLEN VEHICLE,10800 KANIS RD,2022-04-19 04:35:16
UNKNOWN,5000 S ARCH ST,2022-04-19 04:29:56
UNKNOWN,6838 CANTRELL RD,2022-04-19 04:15:05
SUSPICIOUS PERSON,TYNER RD / FOURCHE DAM PIKE,2022-04-19 04:10:08
CHECK CONDITION OF SUBJECT,123 N POLK ST,2022-04-19 04:08:28
LOUD MUSIC,1024 WASHINGTON ST,2022-04-19 04:03:37
INFORMATION REPORT,3401 FAIR PARK BLVD,2022-04-19 03:52:09
SUBJECT STOP,7501 INTERSTATE 30,2022-04-19 03:28:12
ASSIST MEDICAL,424 W MARKHAM ST,2022-04-19 03:19:22
CHECK CONDITION OF SUBJECT,310 E CAPITOL AVE,2022-04-19 03:12:17
INFORMATION REPORT,311 E 8TH ST,2022-04-19 03:07:26
BURGLAR ALARM,6300 COLONEL GLENN RD,2022-04-19 02:40:28
SUBJECT STOP,7400 CANTRELL RD,2022-04-19 02:38:19
CRIMINAL MISCHIEF JUST OCCURRED,6200 COLONEL GLENN RD,2022-04-19 02:28:27
SHOTS FIRED,E 8TH ST / S COMMERCE ST,2022-04-19 02:21:19
ASSIST MEDICAL,3618 W ROOSEVELT RD,2022-04-19 02:18:11
BURGLARY IN PROGRESS PREMISES OCCUPIED,1009 N COOLIDGE ST,2022-04-19 02:17:25
DISTURBANCE IN PROGRESS,1020 S UNIVERSITY AVE,2022-04-19 02:07:13
SHOTS FIRED,49 LEGENDS DR,2022-04-19 02:04:03
BURGLAR ALARM,2 BASS PRO DR,2022-04-19 02:02:23
SHOT SPOTTER ACTIVATION,3317 ASHER AVE,2022-04-19 01:32:22
INFORMATION REPORT,617 BROADWAY ST,2022-04-19 01:28:22
SHOTS FIRED,7575 CANTRELL RD,2022-04-19 01:21:07
CHECK CONDITION OF SUBJECT,310 E CAPITOL AVE,2022-04-19 01:19:23
STANDBY TO PREVENT DISTURBANCE,1800 BROADWAY ST,2022-04-19 01:08:27
SHOT SPOTTER ACTIVATION,4514 W 24TH ST,2022-04-19 00:58:10
SHOT SPOTTER ACTIVATION,3522 W 17TH ST,2022-04-19 00:55:20
DISTURBANCE WITH WEAPON IN PROGRESS,1010 WOLFE ST,2022-04-19 00:47:23
PROPERTY CHECK,6815 FORBING RD,2022-04-19 00:47:05
SHOTS FIRED,6200 COLONEL GLENN RD,2022-04-19 00:46:12
ASSIST MEDICAL,7 BLEDSOE CIR,2022-04-19 00:39:39
PROPERTY CHECK,8115 FRENCHMANS LN,2022-04-19 00:35:54
SUSPICIOUS PERSON,2401 W 65TH ST,2022-04-19 00:32:53
SUSPICIOUS PERSON,7800 INTERSTATE 30,2022-04-19 00:32:02
DISTURBANCE IN PROGRESS,7501 INTERSTATE 30,2022-04-19 00:09:26
DISTURBANCE IN PROGRESS,8818 KANIS RD,2022-04-19 00:08:32
ASSIST MEDICAL,9206 CLOVER HILL RD,2022-04-19 00:08:15
SUSPICIOUS PERSON,212 NATURAL RESOURCES DR,2022-04-19 00:04:18
