Call type,Location,Dispatch time
DISTURBANCE IN PROGRESS,8822 STAGECOACH RD,2022-04-20 07:41:58
BREAKING OR ENTERING AUTO,607 BROADWAY ST,2022-04-20 07:32:43
INFORMATION REPORT,705 S MISSISSIPPI ST,2022-04-20 07:26:14
DISTURBANCE IN PROGRESS,1801 CHAMPLIN DR,2022-04-20 07:25:07
ACCIDENT HIT and RUN W/INJURY ( C ),CANTRELL RD / RIVER RIDGE RD,2022-04-20 07:19:18
UNKNOWN,5000 S ARCH ST,2022-04-20 07:12:11
ACCIDENT,LINDSEY RD / FOURCHE DAM PIKE,2022-04-20 07:05:13
BURGLARY IN PROGRESS,1711 MAIN ST,2022-04-20 06:57:54
DISTURBANCE IN PROGRESS,8 SHACKLEFORD DR,2022-04-20 06:56:25
DISTURBANCE IN PROGRESS,2921 SPRINGER BLVD,2022-04-20 06:42:18
CRIMINAL MISCHIEF,10319 STAGECOACH RD,2022-04-20 06:39:40
DISTURBANCE IN PROGRESS,1 DAWN CT,2022-04-20 06:39:09
DISTURBANCE IN PROGRESS,10434 W 36TH ST,2022-04-20 06:36:48
DISTURBANCE IN PROGRESS,4206 W MARKHAM ST,2022-04-20 06:36:06
BURGLAR ALARM,15500 CHENAL PKY,2022-04-20 06:15:44
VEHICLE STOLEN VEHICLE,9 STONEBROOK CT,2022-04-20 06:02:19
SUSPICIOUS PERSON,9020 GEYER SPRINGS RD,2022-04-20 06:00:20
VEHICLE STALLED VEHICLE,10300 MABELVALE WEST RD,2022-04-20 05:19:51
CHECK CONDITION OF SUBJECT,2601 W 65TH ST,2022-04-20 05:08:50
CRIMINAL TRESPASS IN PROGRESS,9701 COCHRANE ST,2022-04-20 04:42:42
DISTURBANCE WITH WEAPON JUST OCCURRED,7319 REDWOOD DR,2022-04-20 04:40:55
CHECK CONDITION OF SUBJECT,6828 COLONEL GLENN RD,2022-04-20 04:39:51
UNKNOWN,2401 W 65TH ST,2022-04-20 04:26:27
DISTURBANCE IN PROGRESS,104 S UNIVERSITY AVE,2022-04-20 04:18:18
CHECK CONDITION OF SUBJECT,311 E 8TH ST,2022-04-20 04:12:43
ASSIST MEDICAL,521 PRESIDENT CLINTON AVE,2022-04-20 04:11:27
BURGLAR ALARM,6100 W 65TH ST,2022-04-20 04:02:05
BURGLARY,7515 GEYER SPRINGS RD,2022-04-20 03:39:38
SUSPICIOUS PERSON,1324 JOHN BARROW RD,2022-04-20 03:37:30
BATTERY,308 CARPENTER DR,2022-04-20 03:36:01
SHOTS FIRED,1500 S JACKSON ST,2022-04-20 03:31:48
DISTURBANCE IN PROGRESS,8108 GEYER SPRINGS RD,2022-04-20 03:28:35
BURGLAR ALARM,1624 BROADWAY ST,2022-04-20 03:20:22
CHECK CONDITION OF SUBJECT,5001 W 65TH ST,2022-04-20 03:09:19
SUSPICIOUS PERSON,5000 W 24TH ST,2022-04-20 02:42:46
DISTURBANCE IN PROGRESS,1705 SANFORD DR,2022-04-20 02:35:14
BURGLARY IN PROGRESS PREMISES OCCUPIED,2 COACHLIGHT DR,2022-04-20 02:23:50
DISTURBANCE IN PROGRESS,10117 LANEHART RD,2022-04-20 02:17:01
SUBJECT STOP,4710 SAM PECK RD,2022-04-20 02:08:59
BURGLAR ALARM,10701 KANIS RD,2022-04-20 02:03:28
INFORMATION REPORT,7700 N CHICOT RD,2022-04-20 01:53:02
UNKNOWN,7515 GEYER SPRINGS RD,2022-04-20 01:51:48
ASSIST MEDICAL,6200 COLONEL GLENN RD,2022-04-20 01:33:10
SHOOTING JUST OCCURRED,8406 DREHER LN,2022-04-20 01:22:48
UNKNOWN,2911 BOULEVARD AVE,2022-04-20 01:09:44
UNKNOWN,5000 S ARCH ST,2022-04-20 01:08:44
BATTERY JUST OCCURRED,4710 SAM PECK RD,2022-04-20 01:07:17
DISTURBANCE IN PROGRESS,11701 MARA LYNN RD,2022-04-20 01:05:38
UNKNOWN,9500 S HEIGHTS RD,2022-04-20 00:58:03
DISTURBANCE IN PROGRESS,13400 INTERSTATE 30,2022-04-20 00:56:26
INFORMATION REPORT,5310 BASELINE RD,2022-04-20 00:50:43
UNKNOWN,WRIGHT AVE / S CHESTER ST,2022-04-20 00:46:12
DISTURBANCE IN PROGRESS,4524 ASHER AVE,2022-04-20 00:37:46
SUSPICIOUS PERSON,11701 MARA LYNN RD,2022-04-20 00:37:01
RESIDENTIAL ALARM,2413 S STATE ST,2022-04-20 00:32:38
DISTURBANCE IN PROGRESS,8924 W 37TH ST,2022-04-20 00:22:15
DISTURBANCE IN PROGRESS,10105 INTERSTATE 30,2022-04-20 00:00:26
