Call type,Location,Dispatch time
DISTURBANCE IN PROGRESS,3300 S UNIVERSITY AVE,2022-04-16 16:48:04
VEHICLE STALLED VEHICLE,SHACKLEFORD I430 OVERPASS,2022-04-16 16:47:20
SUSPICIOUS PERSON,905 W LAHARPE BLVD,2022-04-16 16:45:31
DISTURBANCE IN PROGRESS,6401 BASELINE RD,2022-04-16 16:38:30
VEHICLE DWOC,6401 BASELINE RD,2022-04-16 16:31:52
STANDBY TO PREVENT DISTURBANCE,1123 W CHARLES BUSSEY AVE,2022-04-16 16:24:48
ROBBERY ALARM,5518 BASELINE RD,2022-04-16 16:20:24
THEFT IN PROGRESS,2700 S SHACKLEFORD RD,2022-04-16 16:14:49
BATTERY IN PROGRESS,801 S RODNEY PARHAM RD,2022-04-16 16:12:35
CRIMINAL TRESPASS IN PROGRESS,1822 BOOKER ST,2022-04-16 16:11:38
DISTURBANCE IN PROGRESS,5201 GEYER SPRINGS RD,2022-04-16 16:08:28
ASSIST MEDICAL,41 KAYWOOD DR,2022-04-16 16:07:38
CRIMINAL TRESPASS IN PROGRESS,12297 INTERSTATE 30,2022-04-16 16:06:51
THEFT IN PROGRESS,420 S UNIVERSITY AVE,2022-04-16 16:04:05
DISTURBANCE WITH WEAPON IN PROGRESS,1915 S ELM ST,2022-04-16 15:57:24
UNKNOWN,9300 TREASURE HILL RD,2022-04-16 15:56:48
POLICE - SUBJECT DOWN,1416 E 9TH ST,2022-04-16 15:48:30
INFORMATION REPORT,INTERSTATE 430 / CANTRELL RD,2022-04-16 15:48:05
ASSIST MEDICAL,5307 KEATS DR,2022-04-16 15:47:01
FOUND PROPERTY,300 OAK MEADOW DR,2022-04-16 15:33:40
BURGLARY,6100 LEON CIR,2022-04-16 15:26:41
BREAKING OR ENTERING AUTO,5817 KAVANAUGH BLVD,2022-04-16 15:25:08
DISTURBANCE,11311 SARDIS RD,2022-04-16 15:24:39
TERRORISTIC THREATENING,1019 GAMBLE RD,2022-04-16 15:24:03
SHOPLIFTING IN PROGRESS,2700 S SHACKLEFORD RD,2022-04-16 15:22:53
DISTURBANCE IN PROGRESS,4401 W 12TH ST,2022-04-16 15:22:37
LOUD MUSIC,1616 N BRYANT ST,2022-04-16 15:21:32
STANDBY TO PREVENT DISTURBANCE,1620 BRECKENRIDGE DR,2022-04-16 15:21:05
ROBBERY OF INDIVIDUAL,10434 W 36TH ST,2022-04-16 15:20:00
FOUND PROPERTY,18701 FAWN TREE DR,2022-04-16 15:15:19
DISTURBANCE IN PROGRESS,2401 W 65TH ST,2022-04-16 15:14:45
SUSPICIOUS PERSON,801 S RODNEY PARHAM RD,2022-04-16 15:13:52
TRAFFIC VIOLATION,9558 RECK RD,2022-04-16 15:12:15
LOITERING,9801 STAGECOACH RD,2022-04-16 15:12:04
ACCIDENT,8801 BASELINE RD,2022-04-16 15:10:09
SHOT SPOTTER ACTIVATION,1301 MADISON ST,2022-04-16 15:04:32
ASSIST MEDICAL,3815 JONES ST,2022-04-16 15:02:00
BURGLAR ALARM,3012 DR MARTIN LUTHER KING DR,2022-04-16 15:00:41
DISTURBANCE,523 CENTER ST,2022-04-16 14:58:31
BURGLAR ALARM,5800 EVERGREEN DR,2022-04-16 14:56:38
BREAKING OR ENTERING AUTO IN PROGRESS,2021 MAIN ST,2022-04-16 14:47:59
SUSPICIOUS PERSON,13500 CHENAL PKY,2022-04-16 14:41:31
POLICE - SUBJECT DOWN,W 2ND ST / S SPRING ST,2022-04-16 14:40:20
DISTURBANCE IN PROGRESS,10905 N RODNEY PARHAM RD,2022-04-16 14:39:33
DISTURBANCE IN PROGRESS,1701 MAIN ST,2022-04-16 14:32:43
CHECK CONDITION OF SUBJECT,4024 W MARKHAM ST,2022-04-16 14:19:38
DISTURBANCE IN PROGRESS,13111 W MARKHAM ST,2022-04-16 14:17:27
FIRE RUN,PARK LN / E CHARLES BUSSEY AVE,2022-04-16 14:15:13
DISTURBANCE IN PROGRESS,1200 BROOKWOOD DR,2022-04-16 14:14:17
SHOPLIFTING,2700 S SHACKLEFORD RD,2022-04-16 14:12:08
DISTURBANCE IN PROGRESS,617 BROADWAY ST,2022-04-16 14:07:39
ACCIDENT INJURIES,W ROOSEVELT RD / BROADWAY ST,2022-04-16 14:05:20
RESIDENTIAL ALARM,3 LAURICE CIR,2022-04-16 13:49:30
DISTURBANCE WITH WEAPON IN PROGRESS,W 28TH ST / S GAINES ST,2022-04-16 13:48:09
DISTURBANCE IN PROGRESS,1908 MICHAEL DR,2022-04-16 13:43:24
THEFT IN PROGRESS,900 S BOWMAN RD,2022-04-16 13:39:24
CHECK CONDITION OF SUBJECT,W 11TH ST / PEYTON ST,2022-04-16 13:34:57
BURGLAR ALARM,8720 INTERSTATE 30,2022-04-16 13:34:11
BATTERY IN PROGRESS,GEYER SPRINGS RD / INTERSTATE 30,2022-04-16 13:27:21
INFORMATION REPORT,324 W 8TH ST,2022-04-16 13:22:30
DISTURBANCE JUST OCCURRED,10434 W 36TH ST,2022-04-16 13:20:20
BURGLAR ALARM,6601 INTERSTATE 30,2022-04-16 13:18:57
RESIDENTIAL ALARM,4 OLD FORGE CT,2022-04-16 13:18:16
BURGLAR ALARM,5 REMINGTON CV,2022-04-16 13:17:29
THEFT IN PROGRESS,2700 S SHACKLEFORD RD,2022-04-16 13:15:43
PARKING VIOLATION,6800 COLONEL GLENN RD,2022-04-16 13:14:47
BATTERY,2 SAINT VINCENT CIR,2022-04-16 13:13:49
DISTURBANCE IN PROGRESS,424 W MARKHAM ST,2022-04-16 13:11:31
ACCIDENT,1311 S BOWMAN RD,2022-04-16 13:05:19
VEHICLE DWOC,3010 MARTEL AVE,2022-04-16 13:04:54
RESIDENTIAL ALARM,8028 DANWOOD DR,2022-04-16 13:01:10
DISTURBANCE IN PROGRESS,9203 CHICOT RD,2022-04-16 13:00:17
ACCIDENT,6425 S UNIVERSITY AVE,2022-04-16 12:59:19
ACCIDENT HIT and RUN,S BOWMAN RD / CHENAL PKY,2022-04-16 12:58:52
ACCIDENT,12000 KANIS RD,2022-04-16 12:56:48
STANDBY TO PREVENT DISTURBANCE,1123 W CHARLES BUSSEY AVE,2022-04-16 12:56:27
SUSPICIOUS PERSON,6616 STERLING DR,2022-04-16 12:44:06
ACCIDENT,1 STADIUM DR,2022-04-16 12:38:43
DISTURBANCE IN PROGRESS,104 S UNIVERSITY AVE,2022-04-16 12:38:08
THEFT,700 S BOWMAN RD,2022-04-16 12:30:05
CHECK CONDITION OF SUBJECT,6818 COLONEL GLENN RD,2022-04-16 12:29:12
DISTURBANCE IN PROGRESS,6 IRVING DR,2022-04-16 12:19:55
STANDBY TO PREVENT DISTURBANCE,6509 JUNIPER RD,2022-04-16 12:09:30
RESIDENTIAL ALARM,213 CONGRESSIONAL CIR,2022-04-16 11:59:37
VEHICLE JUST OCCURRED,902 CUMBERLAND ST,2022-04-16 11:51:50
BURGLAR ALARM,6601 INTERSTATE 30,2022-04-16 11:48:42
SUSPICIOUS PERSON,9200 N RODNEY PARHAM RD,2022-04-16 11:43:57
DISTURBANCE IN PROGRESS,2907 BOULEVARD AVE,2022-04-16 11:42:21
BREAKING OR ENTERING AUTO,501 NAPA VALLEY DR,2022-04-16 11:40:37
ACCIDENT,HINSON RD / N RODNEY PARHAM RD,2022-04-16 11:33:52
BATTERY IN PROGRESS,7709 WOODHAVEN DR,2022-04-16 11:26:32
CRIMINAL MISCHIEF JUST OCCURRED,2318 BROWN ST,2022-04-16 11:23:59
DISTURBANCE JUST OCCURRED,200 S UNIVERSITY AVE,2022-04-16 11:23:05
ACCIDENT W/INJURY and ENTRAPMENT,W 12TH ST / S WOODROW ST,2022-04-16 11:20:19
UNKNOWN,816 S STATE ST,2022-04-16 11:10:11
ADMINISTRATIVE,1 CHILDRENS WAY,2022-04-16 11:02:39
DISTURBANCE IN PROGRESS,17711 CHENAL PKY,2022-04-16 11:00:26
DISTURBANCE IN PROGRESS,1701 MAIN ST,2022-04-16 10:59:16
CHECK CONDITION OF SUBJECT,6838 CANTRELL RD,2022-04-16 10:58:33
DISTURBANCE JUST OCCURRED,8901 BASELINE RD,2022-04-16 10:51:54
DISTURBANCE IN PROGRESS,7709 WOODHAVEN DR,2022-04-16 10:50:43
DISTURBANCE IN PROGRESS,5620 S UNIVERSITY AVE,2022-04-16 10:49:30
UNKNOWN,308 MAIN ST,2022-04-16 10:48:10
DISTURBANCE IN PROGRESS,2700 S SHACKLEFORD RD,2022-04-16 10:46:16
SUSPICIOUS PERSON,1512 S LOUISIANA ST,2022-04-16 10:39:59
RESIDENTIAL ALARM,1618 MOUNTAIN DR,2022-04-16 10:30:29
STANDBY TO PREVENT DISTURBANCE,2905 S MONROE ST,2022-04-16 10:29:37
RESIDENTIAL ALARM,5616 W 51ST ST,2022-04-16 10:22:28
CRIMINAL TRESPASS IN PROGRESS,917 BROADWAY ST,2022-04-16 10:00:56
RESIDENTIAL ALARM,13817 SWEET BAY DR,2022-04-16 10:00:22
BURGLAR ALARM,3421 WOODLANDS TRL,2022-04-16 09:58:44
CRIMINAL TRESPASS IN PROGRESS,1701 MAIN ST,2022-04-16 09:56:34
PROPERTY CHECK,6508 JUNIPER RD,2022-04-16 09:51:55
DISTURBANCE IN PROGRESS,BASELINE RD / WINSTON DR,2022-04-16 09:50:13
LOITERING,1016 MCGOWAN ST,2022-04-16 09:48:42
BURGLAR ALARM,8300 KANIS RD,2022-04-16 09:39:54
BURGLAR ALARM,8300 KANIS RD,2022-04-16 09:39:03
THEFT,617 BROADWAY ST,2022-04-16 09:38:07
ACCIDENT INJURIES,CANTRELL RD / CHENONCEAU BLVD,2022-04-16 09:36:58
ACCIDENT,2124 LABETTE MANOR DR,2022-04-16 09:32:29
ACCIDENT,COLONEL GLENN RD / TALLEY RD,2022-04-16 09:26:36
CRIMINAL TRESPASS,7711 REBECCA DR,2022-04-16 09:21:24
BURGLAR ALARM,7321 CANTRELL RD,2022-04-16 09:00:30
INFORMATION REPORT,9823 HILARO SPRINGS RD,2022-04-16 08:57:45
INFORMATION REPORT,3917 W 12TH ST,2022-04-16 08:56:18
BURGLARY,3304 MARSHALL ST,2022-04-16 08:50:02
DISTURBANCE IN PROGRESS,1201 S WOODROW ST,2022-04-16 08:48:25
DISTURBANCE IN PROGRESS,6100 MITCHELL DR,2022-04-16 08:44:56
THEFT,10800 COLONEL GLENN RD,2022-04-16 08:35:26
ASSIST MEDICAL,2909 S CROSS ST,2022-04-16 08:28:54
DISTURBANCE IN PROGRESS,3707 W 18TH ST,2022-04-16 08:25:28
BURGLAR ALARM,323 PRESIDENT CLINTON AVE,2022-04-16 08:21:16
ASSIST OTHER AGENCY,500 NAPA VALLEY DR,2022-04-16 08:19:33
DISTURBANCE IN PROGRESS,7501 INTERSTATE 30,2022-04-16 08:07:56
VEHICLE BLOCKED DRIVE / ALLEY,3124 MADISON ST,2022-04-16 08:03:26
THEFT,617 BROADWAY ST,2022-04-16 08:02:47
BURGLAR ALARM,323 PRESIDENT CLINTON AVE,2022-04-16 07:55:43
CHECK CONDITION OF SUBJECT,700 E 9TH ST,2022-04-16 07:54:35
DISTURBANCE IN PROGRESS,3801 W 8TH ST,2022-04-16 07:46:45
FIRE RUN,S UNIVERSITY AVE / W 65TH ST,2022-04-16 07:41:05
CRIMINAL MISCHIEF,43 WARREN DR,2022-04-16 07:31:41
DISTURBANCE IN PROGRESS,6509 JUNIPER RD,2022-04-16 07:09:23
BURGLARY IN PROGRESS,1624 BROADWAY ST,2022-04-16 07:08:55
POLICE - SUBJECT DOWN,1200 S UNIVERSITY AVE,2022-04-16 06:59:30
BATTERY JUST OCCURRED,1701 N BRYANT ST,2022-04-16 06:50:20
INFORMATION REPORT,1316 MAIN ST,2022-04-16 06:45:35
DISTURBANCE IN PROGRESS,1312 S LOUISIANA ST,2022-04-16 06:35:53
INFORMATION REPORT,311 E 8TH ST,2022-04-16 06:19:06
ASSIST PARTY,S UNIVERSITY AVE / FRONTAGE RD,2022-04-16 06:12:23
CHECK CONDITION OF SUBJECT,1316 MAIN ST,2022-04-16 06:10:44
DEATH,17 LANTERN HILL RD,2022-04-16 05:59:58
DISTURBANCE IN PROGRESS,1101 BROADWAY ST,2022-04-16 05:52:41
DISTURBANCE IN PROGRESS,10105 INTERSTATE 30,2022-04-16 05:37:03
RESIDENTIAL ALARM,7 WILDCREEK CV,2022-04-16 05:27:25
RESIDENTIAL ALARM,111 CHELLE LN,2022-04-16 05:16:27
RESIDENTIAL ALARM,37 TOURNAY CIR,2022-04-16 05:15:27
DISTURBANCE IN PROGRESS,1854 S SUMMIT ST,2022-04-16 05:07:24
BURGLAR ALARM,1817 S WOODROW ST,2022-04-16 04:56:31
SHOT SPOTTER ACTIVATION,2301 S TYLER ST,2022-04-16 04:26:05
SUSPICIOUS PERSON,107 E MARKHAM ST,2022-04-16 04:20:20
SUSPICIOUS PERSON,1854 S SUMMIT ST,2022-04-16 04:18:10
CHECK CONDITION OF SUBJECT,311 E 8TH ST,2022-04-16 04:03:47
BATTERY IN PROGRESS,12 YORK DR,2022-04-16 04:02:37
ASSIST MEDICAL,7915 W MARKHAM ST,2022-04-16 03:46:41
ASSIST PARTY,5921 BASELINE RD,2022-04-16 03:40:14
ASSIST MEDICAL,3620 WELDON AVE,2022-04-16 03:32:11
ADMINISTRATIVE,3201 W ROOSEVELT RD,2022-04-16 03:25:52
INFORMATION REPORT,2305 S TYLER ST,2022-04-16 03:15:19
BURGLAR ALARM,2624 S SHACKLEFORD RD,2022-04-16 03:14:49
LOUD MUSIC,8715 TEDBURN DR,2022-04-16 03:13:59
DWI,6115 W MARKHAM ST,2022-04-16 03:04:51
UNKNOWN,3700 S ARCH ST,2022-04-16 02:58:53
BATTERY JUST OCCURRED,19 ALTHEA CIR,2022-04-16 02:44:46
BREAKING OR ENTERING AUTO,1400 W MARKHAM ST,2022-04-16 02:42:48
BURGLAR ALARM,700 HARDIN RD,2022-04-16 02:41:44
UNKNOWN,1916 JOHNSON ST,2022-04-16 02:28:59
UNKNOWN,1205 S PARK ST,2022-04-16 02:25:39
BURGLAR ALARM,7311 BASELINE RD,2022-04-16 02:22:43
SHOT SPOTTER ACTIVATION,2001 S MONROE ST,2022-04-16 02:22:14
RESIDENTIAL ALARM,604 CAMBRIDGE PLACE DR,2022-04-16 02:20:52
ARSON REPORT,515 E ROOSEVELT RD,2022-04-16 02:18:53
ASSIST MEDICAL,6310 COLONEL GLENN RD,2022-04-16 02:18:16
VEHICLE STALLED VEHICLE,W 17TH ST / S STATE ST,2022-04-16 02:15:29
BURGLARY,1601 N SHACKLEFORD RD,2022-04-16 02:14:55
LOUD PARTY,5300 BASELINE RD,2022-04-16 02:09:53
SHOT SPOTTER ACTIVATION,2323 S HARRISON ST,2022-04-16 02:07:14
DISTURBANCE WITH WEAPON IN PROGRESS,600 S BOWMAN RD,2022-04-16 02:06:44
SHOT SPOTTER ACTIVATION,4910 ASHER AVE,2022-04-16 02:01:08
LOUD MUSIC,5306 STANLEY DR,2022-04-16 01:58:28
RESIDENTIAL ALARM,2912 MOSSY CREEK DR,2022-04-16 01:52:20
CHECK CONDITION OF SUBJECT,8108 GEYER SPRINGS RD,2022-04-16 01:46:27
SHOT SPOTTER ACTIVATION,1921 VALMAR ST,2022-04-16 01:45:53
SHOT SPOTTER ACTIVATION,1921 BROWN ST,2022-04-16 01:36:45
UNKNOWN,7601 BASELINE RD,2022-04-16 01:34:33
SUSPICIOUS PERSON,16401 CHENAL VALLEY DR,2022-04-16 01:25:14
DISTURBANCE IN PROGRESS,1007 MAIN ST,2022-04-16 01:15:17
UNKNOWN,3611 MABELVALE PIKE,2022-04-16 01:01:01
ASSIST MEDICAL,8504 WESTWOOD AVE,2022-04-16 00:59:44
INFORMATION REPORT,1800 BROADWAY ST,2022-04-16 00:57:59
DWI,9715 MABELVALE PIKE,2022-04-16 00:55:24
DISTURBANCE IN PROGRESS,2824 S GAINES ST,2022-04-16 00:54:14
ACCIDENT INJURIES,W 65TH ST / S ARCH ST,2022-04-16 00:51:56
INFORMATION REPORT,9400 STAGECOACH RD,2022-04-16 00:46:52
DISTURBANCE IN PROGRESS,2620 W 65TH ST,2022-04-16 00:41:05
DISTURBANCE IN PROGRESS,1856 S STATE ST,2022-04-16 00:39:25
TRAFFIC VIOLATION,620 S UNIVERSITY AVE,2022-04-16 00:30:02
POLICE - SUBJECT DOWN,S BOWMAN RD / COLONEL GLENN RD,2022-04-16 00:29:11
LOUD MUSIC,6424 THE DIVIDE PKY,2022-04-16 00:28:37
DISTURBANCE IN PROGRESS,9201 KANIS RD,2022-04-16 00:05:16
DISTURBANCE IN PROGRESS,4721 BASELINE RD,2022-04-16 00:02:21
